Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.3597
2,525,-497.0,0.999,0.3724
3,449,-421.5,0.998,0.3621
4,785,-750.5,0.997,0.45
5,610,-580.5,0.996,0.3959
6,860,-824.0,0.995,0.546
7,382,-358.0,0.994,0.2652
8,467,-442.0,0.993,0.3216
9,549,-520.5,0.992,0.4786
10,656,-621.5,0.991,0.4201
11,504,-478.5,0.99,0.3291
12,609,-579.0,0.989,0.3863
13,814,-781.5,0.988,0.5667
14,441,-414.5,0.987,0.3133
15,407,-380.0,0.986,0.2959
16,710,-679.0,0.985,0.4268
17,379,-353.0,0.984,0.2509
18,630,-597.5,0.983,0.4338
19,543,-516.0,0.982,0.3602
20,398,-371.5,0.981,0.283
21,325,-300.5,0.98,0.2292
22,501,-470.0,0.979,0.3694
23,345,-321.5,0.978,0.2064
24,586,-557.0,0.977,0.4017
25,354,-329.0,0.976,0.2636
26,610,-582.5,0.975,0.4237
27,424,-398.5,0.974,0.2887
28,500,-472.0,0.973,0.3298
29,226,-201.0,0.972,0.1934
30,419,-391.0,0.971,0.2947
31,316,-291.0,0.97,0.1988
32,259,-234.5,0.969,0.1628
33,354,-331.5,0.968,0.2226
34,490,-464.5,0.968,0.327
35,362,-333.5,0.967,0.2341
36,455,-429.5,0.966,0.3017
37,256,-233.0,0.965,0.1631
38,202,-180.0,0.964,0.1316
39,411,-384.5,0.963,0.2813
40,326,-300.5,0.962,0.2664
41,295,-273.0,0.961,0.1818
42,285,-258.0,0.96,0.1811
43,364,-339.5,0.959,0.2197
44,408,-384.5,0.958,0.278
45,278,-255.5,0.957,0.2
46,270,-247.0,0.956,0.1888
47,244,-221.0,0.955,0.1605
48,341,-311.5,0.954,0.2314
49,436,-406.0,0.953,0.303
50,209,-188.5,0.952,0.1661
51,179,-157.0,0.951,0.1578
52,295,-273.0,0.95,0.1971
53,331,-306.5,0.949,0.2171
54,318,-296.0,0.948,0.228
55,229,-208.5,0.947,0.1736
56,227,-205.0,0.946,0.1776
57,303,-279.5,0.946,0.2272
58,178,-152.5,0.945,0.1413
59,226,-202.0,0.944,0.1657
60,209,-187.0,0.943,0.1507
61,201,-179.0,0.942,0.1505
62,141,-118.0,0.941,0.0992
63,247,-222.5,0.94,0.191
64,229,-205.0,0.939,0.1844
65,172,-147.5,0.938,0.1368
66,206,-182.0,0.937,0.1186
67,190,-168.0,0.936,0.1438
68,184,-159.0,0.935,0.1278
69,239,-217.0,0.934,0.1684
70,177,-156.0,0.933,0.1338
71,281,-255.5,0.932,0.2053
72,193,-168.0,0.931,0.1479
73,227,-203.5,0.93,0.1748
74,172,-147.5,0.93,0.1382
75,168,-143.0,0.929,0.1295
76,192,-168.0,0.928,0.1468
77,238,-213.5,0.927,0.1834
78,161,-139.0,0.926,0.1187
79,183,-160.5,0.925,0.1412
80,113,-92.0,0.924,0.0916
81,159,-137.0,0.923,0.1348
82,137,-116.5,0.922,0.0885
83,212,-189.0,0.921,0.1622
84,284,-261.0,0.92,0.1712
85,162,-138.5,0.919,0.1157
86,128,-105.5,0.918,0.0886
87,106,-85.0,0.918,0.078
88,167,-146.0,0.917,0.0989
89,214,-191.5,0.916,0.1356
90,216,-192.0,0.915,0.1455
91,141,-119.0,0.914,0.1136
92,159,-137.5,0.913,0.1197
93,172,-149.0,0.912,0.1214
94,113,-91.5,0.911,0.089
95,195,-170.0,0.91,0.1494
96,206,-181.5,0.909,0.1623
97,107,-85.5,0.908,0.0809
98,175,-152.0,0.908,0.126
99,293,-268.5,0.907,0.2302
100,163,-140.0,0.906,0.1275
101,144,-121.5,0.905,0.083
102,115,-93.5,0.904,0.0906
103,136,-114.0,0.903,0.105
104,196,-175.5,0.902,0.1441
105,137,-114.0,0.901,0.1129
106,179,-155.0,0.9,0.1276
107,146,-125.0,0.899,0.1027
108,129,-108.5,0.898,0.0945
109,174,-152.0,0.898,0.1222
110,201,-179.5,0.897,0.1507
111,142,-118.0,0.896,0.1141
112,135,-114.0,0.895,0.1114
113,138,-117.5,0.894,0.1038
114,123,-102.0,0.893,0.09
115,176,-152.5,0.892,0.1217
116,167,-145.5,0.891,0.1267
117,145,-123.5,0.89,0.1158
118,105,-84.0,0.89,0.0879
119,123,-100.0,0.889,0.1092
120,92,-70.0,0.888,0.0886
121,114,-94.0,0.887,0.0989
122,72,-51.5,0.886,0.0525
123,113,-92.5,0.885,0.0682
124,76,-55.0,0.884,0.053
125,107,-85.5,0.883,0.0837
126,118,-96.0,0.882,0.0943
127,156,-134.0,0.882,0.1246
128,170,-147.5,0.881,0.1327
129,146,-124.5,0.88,0.1148
130,92,-71.5,0.879,0.0789
131,76,-54.0,0.878,0.0687
132,120,-97.5,0.877,0.0973
133,106,-83.0,0.876,0.0913
134,120,-98.0,0.875,0.0991
135,114,-91.5,0.875,0.0968
136,117,-95.0,0.874,0.0933
137,168,-146.0,0.873,0.1328
138,140,-117.5,0.872,0.1109
139,118,-98.0,0.871,0.0906
140,130,-107.5,0.87,0.0941
141,62,-41.5,0.869,0.0534
142,117,-94.5,0.868,0.0889
143,137,-116.0,0.868,0.0991
144,89,-68.5,0.867,0.0862
145,106,-83.5,0.866,0.0911
146,76,-55.0,0.865,0.0778
147,102,-80.5,0.864,0.0878
148,144,-123.5,0.863,0.091
149,117,-95.5,0.862,0.0752
150,163,-141.5,0.862,0.1196
151,120,-98.5,0.861,0.0985
152,92,-72.0,0.86,0.0754
153,133,-110.5,0.859,0.1022
154,90,-69.5,0.858,0.0794
155,94,-72.0,0.857,0.071
156,78,-57.0,0.856,0.0629
157,88,-67.5,0.855,0.0677
158,86,-66.0,0.855,0.0724
159,127,-105.0,0.854,0.0973
160,87,-64.5,0.853,0.0771
161,69,-48.0,0.852,0.059
162,69,-47.5,0.851,0.0525
163,59,-38.5,0.85,0.0536
164,110,-88.5,0.85,0.0881
165,88,-66.0,0.849,0.0757
166,66,-45.5,0.848,0.0591
167,134,-113.0,0.847,0.1115
168,87,-66.5,0.846,0.0755
169,84,-61.5,0.845,0.0709
170,78,-58.0,0.844,0.0665
171,118,-96.0,0.844,0.0864
172,104,-82.0,0.843,0.0736
173,62,-42.0,0.842,0.05
174,97,-75.0,0.841,0.1023
175,67,-45.0,0.84,0.063
176,136,-114.5,0.839,0.1287
177,71,-50.0,0.839,0.0622
178,64,-42.5,0.838,0.0546
179,102,-80.0,0.837,0.0627
180,64,-43.5,0.836,0.0491
181,109,-88.0,0.835,0.0763
182,76,-54.5,0.834,0.0571
183,68,-46.0,0.834,0.0536
184,107,-87.0,0.833,0.0741
185,63,-42.0,0.832,0.0512
186,64,-43.0,0.831,0.0521
187,83,-61.5,0.83,0.0591
188,91,-71.0,0.829,0.064
189,72,-51.5,0.829,0.0628
190,74,-52.5,0.828,0.0624
191,95,-74.0,0.827,0.0616
192,74,-52.5,0.826,0.0526
193,122,-101.0,0.825,0.0844
194,61,-39.5,0.824,0.0432
195,105,-83.5,0.824,0.074
196,81,-60.0,0.823,0.0557
197,38,-17.0,0.822,0.0443
198,91,-69.0,0.821,0.0723
199,50,-29.0,0.82,0.0432
200,88,-67.0,0.819,0.0771
201,71,-50.5,0.819,0.0585
202,76,-55.0,0.818,0.0681
203,59,-38.5,0.817,0.0561
204,79,-58.0,0.816,0.0644
205,65,-44.5,0.815,0.054
206,88,-67.0,0.815,0.0698
207,57,-36.5,0.814,0.0487
208,80,-58.0,0.813,0.0631
209,90,-69.0,0.812,0.0695
210,65,-44.0,0.811,0.0588
211,100,-78.0,0.81,0.0907
212,74,-52.0,0.81,0.0735
213,64,-42.5,0.809,0.0577
214,62,-40.5,0.808,0.0715
215,90,-68.0,0.807,0.092
216,41,-20.5,0.806,0.0438
217,82,-61.0,0.806,0.0667
218,94,-73.0,0.805,0.0662
219,77,-56.5,0.804,0.0626
220,81,-60.0,0.803,0.054
221,48,-27.5,0.802,0.0359
222,57,-35.5,0.802,0.0433
223,60,-40.0,0.801,0.0498
224,51,-30.0,0.8,0.0404
225,68,-47.5,0.799,0.0498
226,60,-38.5,0.798,0.0486
227,65,-44.0,0.798,0.0551
228,62,-40.5,0.797,0.0439
229,59,-38.0,0.796,0.0491
230,81,-59.5,0.795,0.0624
231,53,-32.5,0.794,0.0401
232,88,-67.5,0.794,0.0831
233,79,-58.5,0.793,0.067
234,61,-40.0,0.792,0.0446
235,64,-42.0,0.791,0.0528
236,65,-44.5,0.79,0.0516
237,50,-29.5,0.79,0.0394
238,49,-29.0,0.789,0.036
239,81,-60.0,0.788,0.0597
240,67,-45.0,0.787,0.0596
241,63,-40.5,0.787,0.0495
242,54,-33.5,0.786,0.0429
243,34,-13.0,0.785,0.0316
244,70,-48.5,0.784,0.052
245,78,-57.0,0.783,0.0584
246,51,-31.0,0.783,0.0438
247,54,-32.5,0.782,0.038
248,34,-13.0,0.781,0.031
249,70,-48.5,0.78,0.0568
250,45,-24.5,0.779,0.0397
251,82,-60.5,0.779,0.0668
252,57,-35.5,0.778,0.0425
253,63,-43.0,0.777,0.0623
254,39,-17.5,0.776,0.0424
255,57,-35.5,0.776,0.0395
256,44,-23.0,0.775,0.0448
257,66,-44.0,0.774,0.0704
258,47,-26.5,0.773,0.0515
259,87,-66.0,0.772,0.0845
260,80,-58.5,0.772,0.0815
261,52,-32.0,0.771,0.0579
262,51,-30.0,0.77,0.0448
263,49,-28.0,0.769,0.0377
264,54,-33.5,0.769,0.058
265,36,-15.0,0.768,0.0452
266,56,-34.0,0.767,0.0555
267,77,-54.5,0.766,0.0556
268,59,-37.5,0.766,0.0406
269,52,-31.5,0.765,0.0426
270,52,-30.5,0.764,0.0371
271,80,-58.5,0.763,0.0573
272,81,-59.5,0.763,0.055
273,71,-49.0,0.762,0.0491
274,71,-50.0,0.761,0.0515
275,64,-43.5,0.76,0.0494
276,54,-31.5,0.759,0.0508
277,32,-11.5,0.759,0.0338
278,47,-27.0,0.758,0.0414
279,27,-6.5,0.757,0.0313
280,66,-45.5,0.756,0.0576
281,34,-13.0,0.756,0.0356
282,39,-19.0,0.755,0.0344
283,92,-70.0,0.754,0.0711
284,48,-28.0,0.753,0.0469
285,41,-21.0,0.753,0.0429
286,52,-31.5,0.752,0.0482
287,63,-41.5,0.751,0.0547
288,51,-30.5,0.75,0.0471
289,46,-25.5,0.75,0.0455
290,63,-41.0,0.749,0.0522
291,59,-38.0,0.748,0.0504
292,39,-18.0,0.747,0.0403
293,43,-22.5,0.747,0.0426
294,35,-13.5,0.746,0.0374
295,65,-44.5,0.745,0.0602
296,44,-24.0,0.744,0.0421
297,53,-33.0,0.744,0.044
298,54,-34.0,0.743,0.0464
299,41,-20.5,0.742,0.0394
300,42,-21.5,0.741,0.0401
301,21,-1.0,0.741,0.0261
302,64,-42.0,0.74,0.0508
303,54,-34.0,0.739,0.0504
304,45,-24.5,0.738,0.0421
305,48,-28.0,0.738,0.05
306,71,-50.5,0.737,0.0742
307,46,-24.5,0.736,0.0475
308,28,-6.5,0.736,0.0405
309,38,-17.5,0.735,0.0535
310,34,-14.0,0.734,0.0511
311,43,-22.0,0.733,0.0553
312,42,-21.0,0.733,0.0449
313,22,-1.5,0.732,0.0276
314,49,-28.0,0.731,0.0451
315,22,-1.0,0.73,0.0231
316,35,-14.5,0.73,0.0329
317,66,-44.5,0.729,0.0513
318,59,-39.0,0.728,0.0474
319,52,-31.5,0.727,0.0435
320,61,-41.0,0.727,0.0433
321,35,-14.5,0.726,0.0324
322,29,-8.5,0.725,0.0274
323,54,-34.0,0.725,0.0407
324,35,-15.0,0.724,0.0323
325,55,-35.0,0.723,0.0425
326,34,-13.5,0.722,0.0354
327,40,-20.0,0.722,0.0391
328,36,-16.0,0.721,0.0375
329,35,-15.0,0.72,0.0425
330,27,-6.0,0.72,0.0356
331,47,-26.5,0.719,0.0468
332,35,-14.5,0.718,0.0334
333,28,-8.0,0.717,0.0285
334,55,-34.5,0.717,0.0524
335,55,-35.0,0.716,0.048
336,44,-24.0,0.715,0.0405
337,40,-20.0,0.715,0.0346
338,48,-26.5,0.714,0.0438
339,34,-14.0,0.713,0.034
340,41,-20.5,0.712,0.0336
341,51,-28.5,0.712,0.0382
342,44,-23.5,0.711,0.0352
343,64,-43.0,0.71,0.0496
344,68,-47.5,0.71,0.051
345,28,-8.0,0.709,0.0274
346,61,-40.0,0.708,0.0473
347,45,-24.0,0.707,0.0356
348,33,-13.0,0.707,0.0286
349,45,-24.5,0.706,0.0365
350,55,-34.0,0.705,0.0366
351,29,-8.0,0.705,0.026
352,43,-20.5,0.704,0.0406
353,27,-6.5,0.703,0.0316
354,43,-23.0,0.702,0.0438
355,50,-29.0,0.702,0.0424
356,59,-38.5,0.701,0.062
357,24,-4.0,0.7,0.0291
358,27,-6.5,0.7,0.0305
359,46,-25.5,0.699,0.033
360,27,-6.0,0.698,0.0258
361,42,-21.0,0.698,0.0337
362,32,-12.0,0.697,0.0295
363,33,-13.0,0.696,0.0281
364,26,-6.0,0.695,0.0289
365,37,-16.5,0.695,0.0403
366,34,-13.5,0.694,0.0419
367,65,-44.5,0.693,0.0738
368,34,-13.5,0.693,0.0381
369,52,-31.5,0.692,0.0539
370,39,-18.5,0.691,0.0504
371,42,-21.5,0.691,0.0561
372,28,-7.0,0.69,0.039
373,60,-40.0,0.689,0.0525
374,32,-10.0,0.689,0.0305
375,36,-15.0,0.688,0.0296
376,37,-16.5,0.687,0.0313
377,28,-8.0,0.686,0.026
378,40,-19.5,0.686,0.0369
379,29,-9.0,0.685,0.0255
380,35,-15.0,0.684,0.03
381,19,1.5,0.684,0.0192
382,41,-21.0,0.683,0.0315
383,25,-4.5,0.682,0.0251
384,33,-12.5,0.682,0.0334
385,24,-3.5,0.681,0.0261
386,34,-13.0,0.68,0.0282
387,26,-6.0,0.68,0.0248
388,33,-12.5,0.679,0.026
389,41,-19.5,0.678,0.0314
390,46,-25.5,0.678,0.0351
391,43,-23.0,0.677,0.0366
392,45,-24.5,0.676,0.0359
393,42,-22.0,0.676,0.0356
394,27,-6.5,0.675,0.0251
395,22,-1.5,0.674,0.0254
396,28,-7.5,0.674,0.0303
397,43,-22.0,0.673,0.0326
398,49,-28.0,0.672,0.0368
399,44,-24.0,0.672,0.0388
400,32,-12.0,0.671,0.0304
401,45,-24.0,0.67,0.0338
