Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.5397
2,525,-497.0,0.999,0.468
3,449,-421.5,0.998,0.4557
4,785,-750.5,0.997,0.7168
5,610,-580.5,0.996,0.5198
6,860,-824.0,0.995,0.7197
7,382,-358.0,0.994,0.3428
8,467,-442.0,0.993,0.404
9,549,-520.5,0.992,0.4577
10,656,-621.5,0.991,0.5777
11,504,-478.5,0.99,0.4383
12,609,-579.0,0.989,0.5231
13,814,-781.5,0.988,0.6787
14,441,-414.5,0.987,0.3991
15,407,-380.0,0.986,0.5082
16,710,-679.0,0.985,0.6743
17,379,-353.0,0.984,0.3398
18,630,-597.5,0.983,0.5304
19,543,-516.0,0.982,0.4545
20,398,-371.5,0.981,0.3342
21,325,-300.5,0.98,0.2682
22,501,-470.0,0.979,0.4259
23,345,-321.5,0.978,0.2964
24,586,-557.0,0.977,0.5019
25,354,-328.5,0.976,0.2929
26,610,-582.5,0.975,0.511
27,424,-398.5,0.974,0.3847
28,500,-472.0,0.973,0.4129
29,226,-201.0,0.972,0.2007
30,419,-391.0,0.971,0.3344
31,316,-291.0,0.97,0.2717
32,259,-234.5,0.969,0.2317
33,354,-331.5,0.968,0.296
34,490,-464.5,0.968,0.438
35,362,-333.5,0.967,0.3049
36,455,-429.5,0.966,0.3837
37,256,-233.0,0.965,0.2174
38,202,-180.0,0.964,0.203
39,411,-384.5,0.963,0.391
40,326,-300.5,0.962,0.2597
41,295,-273.0,0.961,0.2518
42,285,-258.0,0.96,0.2363
43,364,-339.5,0.959,0.3016
44,408,-384.5,0.958,0.3865
45,278,-255.5,0.957,0.2541
46,270,-247.0,0.956,0.2427
47,244,-221.0,0.955,0.2102
48,341,-311.5,0.954,0.2951
49,436,-406.0,0.953,0.3909
50,209,-188.5,0.952,0.166
51,179,-157.0,0.951,0.156
52,295,-273.0,0.95,0.2563
53,331,-306.5,0.949,0.2736
54,318,-296.0,0.948,0.2658
55,229,-208.5,0.947,0.1958
56,227,-205.0,0.946,0.2014
57,303,-279.5,0.946,0.2735
58,178,-152.5,0.945,0.1597
59,226,-202.0,0.944,0.2194
60,209,-187.0,0.943,0.1877
61,201,-179.0,0.942,0.2164
62,141,-118.0,0.941,0.1344
63,247,-222.5,0.94,0.2262
64,229,-205.0,0.939,0.2189
65,172,-147.5,0.938,0.1525
66,206,-182.0,0.937,0.1838
67,190,-168.0,0.936,0.1507
68,184,-159.0,0.935,0.165
69,239,-217.0,0.934,0.2149
70,177,-156.0,0.933,0.1621
71,281,-255.5,0.932,0.2253
72,193,-168.0,0.931,0.1688
73,227,-203.5,0.93,0.1927
74,172,-147.5,0.93,0.1718
75,168,-143.0,0.929,0.1474
76,192,-168.0,0.928,0.175
77,238,-213.5,0.927,0.2169
78,161,-139.0,0.926,0.1396
79,183,-160.5,0.925,0.1526
80,113,-92.0,0.924,0.1031
81,159,-137.0,0.923,0.1555
82,137,-116.5,0.922,0.1174
83,212,-188.5,0.921,0.186
84,284,-261.0,0.92,0.2293
85,162,-138.5,0.919,0.1343
86,128,-105.5,0.918,0.1169
87,106,-85.0,0.918,0.0986
88,167,-146.0,0.917,0.142
89,214,-191.5,0.916,0.1868
90,216,-192.0,0.915,0.1879
91,141,-119.0,0.914,0.1372
92,159,-137.5,0.913,0.1436
93,172,-149.0,0.912,0.1602
94,113,-91.5,0.911,0.1084
95,195,-170.0,0.91,0.1798
96,206,-181.5,0.909,0.1749
97,107,-85.5,0.908,0.1021
98,175,-152.0,0.908,0.165
99,293,-268.5,0.907,0.2423
100,163,-140.0,0.906,0.1685
101,144,-121.5,0.905,0.1457
102,115,-94.0,0.904,0.1012
103,136,-114.0,0.903,0.1292
104,196,-175.5,0.902,0.1863
105,137,-114.0,0.901,0.1173
106,179,-155.0,0.9,0.1541
107,146,-125.0,0.899,0.1473
108,129,-108.5,0.898,0.1299
109,174,-152.0,0.898,0.1559
110,201,-179.5,0.897,0.1896
111,142,-118.0,0.896,0.1257
112,135,-114.0,0.895,0.1605
113,138,-117.5,0.894,0.1763
114,123,-102.0,0.893,0.1239
115,176,-152.5,0.892,0.1662
116,167,-145.5,0.891,0.1533
117,145,-123.5,0.89,0.139
118,105,-84.0,0.89,0.1078
119,123,-100.0,0.889,0.1142
120,92,-70.0,0.888,0.0936
121,114,-94.0,0.887,0.101
122,72,-51.5,0.886,0.0649
123,113,-92.5,0.885,0.1
124,76,-55.0,0.884,0.0837
125,107,-85.5,0.883,0.1134
126,118,-96.0,0.882,0.1553
127,156,-134.0,0.882,0.1524
128,170,-147.5,0.881,0.1629
129,146,-124.5,0.88,0.1374
130,92,-71.5,0.879,0.0917
131,76,-54.0,0.878,0.0779
132,120,-97.5,0.877,0.1149
133,125,-101.5,0.876,0.1219
134,117,-95.5,0.875,0.179
135,105,-82.5,0.875,0.1043
136,166,-143.0,0.874,0.1505
137,112,-91.5,0.873,0.0979
138,140,-117.5,0.872,0.1151
139,118,-98.0,0.871,0.1137
140,130,-107.5,0.87,0.1243
141,62,-41.5,0.869,0.0659
142,117,-94.5,0.868,0.1129
143,137,-116.0,0.868,0.1436
144,89,-68.5,0.867,0.0902
145,106,-83.5,0.866,0.1123
146,76,-55.0,0.865,0.066
147,102,-80.5,0.864,0.1062
148,144,-123.5,0.863,0.1387
149,117,-95.5,0.862,0.1166
150,163,-141.5,0.862,0.1567
151,120,-98.5,0.861,0.1064
152,96,-75.5,0.86,0.1003
153,129,-106.5,0.859,0.1028
154,124,-102.5,0.858,0.1133
155,76,-56.0,0.857,0.0843
156,103,-81.5,0.856,0.1059
157,103,-82.5,0.855,0.0941
158,126,-106.0,0.855,0.1287
159,103,-80.0,0.854,0.0908
160,74,-52.5,0.853,0.0812
161,67,-44.5,0.852,0.0719
162,49,-29.0,0.851,0.0603
163,61,-40.0,0.85,0.0686
164,145,-123.0,0.85,0.1259
165,81,-61.0,0.849,0.0844
166,100,-79.0,0.848,0.092
