Pattern Index,State,Action,Q-Value
0,0,0,0.0
0,0,1,-0.428318145
0,0,2,-0.4423638180370541
0,0,3,-0.46273796527060496
0,0,4,-0.173063191442202
0,0,5,-0.2235
0,0,6,-0.3405122375623093
0,0,7,1.9999999431766347
0,0,8,-0.467415
0,0,9,-0.47587032555762443
0,0,10,-0.3561389318796125
0,0,11,-0.657
0,0,12,-0.4335
0,0,13,-0.27299629577098083
0,0,14,-0.30195513338287716
0,0,15,-0.463571751885
0,0,16,-0.20656808963071988
0,0,17,-0.5977378499999999
0,0,18,-0.5661255
0,0,19,-0.34246499999999996
0,0,20,-0.47636151503968654
0,0,21,-0.657
0,0,22,-0.19699769673383205
0,0,23,-0.3926242716119722
0,0,24,-0.58230285
0,0,25,-0.5262707792264916
0,0,26,-0.2825931692877967
0,0,27,-0.4486056505293545
0,0,28,-0.14906811441257828
0,0,29,-0.6101442620396865
0,0,30,-0.3
0,0,31,-0.43654499999999996
0,0,32,-0.6535905
0,0,33,-0.372353145
0,0,34,-0.4755410531210101
0,0,35,-0.37050064023981355
0,1,0,-0.3616300772967094
0,1,1,-0.18301499999999998
0,1,2,-0.4756709834277806
0,1,3,-0.4003859766725132
0,1,4,-0.2281175022609224
0,1,5,-0.255
0,1,6,-0.4698649173157287
0,1,7,1.9999999419214076
0,1,8,-0.25994926296149146
0,1,9,-0.5302729336847071
0,1,10,-0.46178884011450005
0,1,11,-0.26176517527649146
0,1,12,-0.5799058469688545
0,1,13,-0.20145
0,1,14,-0.2235
0,1,15,-0.4702247970886911
0,1,16,-0.364515
0,1,17,-0.29172713422649144
0,1,18,-0.3
0,1,19,-0.4871812875511908
0,1,20,-0.4280691566803034
0,1,21,-0.46499999999999997
0,1,22,-0.3080224816998782
0,1,23,-0.39283690312101016
0,1,24,0.0
0,1,25,-0.3179883444510835
0,1,26,-0.5609417366145001
0,1,27,-0.255
0,1,28,-0.36864720149999997
0,1,29,-0.4335
0,1,30,-0.582637128735
0,1,31,-0.401983335156105
0,1,32,-0.364237128735
0,1,33,-0.15024426203968655
0,1,34,-0.41145
0,1,35,-0.17033509331752922
0,2,0,0.0
0,2,1,-0.30542099999999994
0,2,2,0.048967624073393584
0,2,3,-0.2959327337187381
0,2,4,-0.33250382143256785
0,2,5,-0.3
0,2,6,-0.27229440299999996
0,2,7,1.9999999324642128
0,2,8,-0.35312774104765376
0,2,9,-0.3379994280887225
0,2,10,-0.3537105
0,2,11,-0.20855923527737344
0,2,12,-0.4362700914125482
0,2,13,-0.4313833719510436
0,2,14,-0.17302410423779258
0,2,15,-0.52695
0,2,16,-0.3123665521992389
0,2,17,-0.4502215063995
0,2,18,-0.42876972751617803
0,2,19,-0.46858349160015
0,2,20,-0.39389179231572874
0,2,21,-0.46499999999999997
0,2,22,-0.4125813759281258
0,2,23,-0.612
0,2,24,-0.312828633874762
0,2,25,-0.11206051872050646
0,2,26,-0.3656314362848717
0,2,27,-0.4395197799137071
0,2,28,-0.13762285997736914
0,2,29,-0.508453335156105
0,2,30,-0.5917635907709808
0,2,31,-0.6161055
0,2,32,-0.07955446017630435
0,2,33,-0.51
0,2,34,-0.21304704005742878
0,2,35,-0.2552187348174059
0,3,0,-0.39684612402959646
0,3,1,-0.18930789108038662
0,3,2,-0.3190055059418431
0,3,3,-0.0072031188495000125
0,3,4,-0.41145
0,3,5,-0.43017649011450004
0,3,6,-0.2707255277233317
0,3,7,1.9999999455575501
0,3,8,-0.42574049999999997
0,3,9,-0.30941599011450005
0,3,10,-0.20145
0,3,11,-0.34756175630075115
0,3,12,-0.5410859834277806
