Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.5189
2,525,-497.0,0.999,0.4794
3,449,-421.5,0.998,0.4761
4,785,-750.5,0.997,0.7311
5,610,-580.5,0.996,0.5567
6,860,-824.0,0.995,0.6864
7,382,-358.0,0.994,0.3147
8,467,-442.0,0.993,0.3738
9,549,-520.5,0.992,0.4734
10,656,-621.5,0.991,0.5374
11,504,-478.5,0.99,0.4185
12,609,-579.0,0.989,0.513
13,814,-781.5,0.988,0.6951
14,441,-414.5,0.987,0.389
15,407,-380.0,0.986,0.3495
16,710,-679.0,0.985,0.5523
17,379,-353.0,0.984,0.3134
18,630,-597.5,0.983,0.5088
19,543,-516.0,0.982,0.4737
20,398,-371.5,0.981,0.3638
21,325,-300.5,0.98,0.2658
22,501,-470.0,0.979,0.385
23,345,-321.5,0.978,0.2889
24,586,-557.0,0.977,0.4981
25,354,-329.0,0.976,0.3091
26,610,-582.5,0.975,0.5197
27,424,-398.5,0.974,0.3416
28,500,-472.0,0.973,0.4006
29,226,-201.0,0.972,0.1881
30,419,-391.0,0.971,0.3907
31,316,-291.0,0.97,0.2741
32,259,-234.5,0.969,0.2308
33,354,-331.5,0.968,0.3102
34,490,-464.5,0.968,0.3978
35,362,-333.0,0.967,0.2902
36,455,-429.5,0.966,0.3696
37,256,-233.0,0.965,0.2277
38,202,-180.0,0.964,0.1566
39,411,-384.5,0.963,0.3496
40,326,-300.5,0.962,0.2591
41,295,-273.0,0.961,0.252
42,285,-258.0,0.96,0.2447
43,364,-339.5,0.959,0.2985
44,408,-384.5,0.958,0.3058
45,278,-255.5,0.957,0.2118
46,270,-247.0,0.956,0.2533
47,244,-221.0,0.955,0.1919
48,340,-310.5,0.954,0.301
49,437,-407.0,0.953,0.3425
50,209,-188.5,0.952,0.1609
51,179,-157.0,0.951,0.1412
52,295,-273.0,0.95,0.2647
53,331,-306.5,0.949,0.2691
54,318,-296.0,0.948,0.2704
55,229,-208.5,0.947,0.1882
56,227,-205.0,0.946,0.1978
57,303,-279.5,0.946,0.292
58,176,-150.5,0.945,0.1521
59,228,-203.5,0.944,0.1886
60,209,-187.0,0.943,0.1922
61,201,-179.0,0.942,0.1834
62,141,-118.0,0.941,0.1271
63,247,-222.5,0.94,0.1832
64,229,-205.0,0.939,0.2074
65,172,-147.5,0.938,0.135
66,206,-182.0,0.937,0.1835
67,190,-168.0,0.936,0.1602
68,184,-159.0,0.935,0.173
69,239,-217.0,0.934,0.1924
70,177,-156.0,0.933,0.1425
71,281,-255.5,0.932,0.2341
72,193,-168.0,0.931,0.158
73,227,-203.5,0.93,0.1871
74,172,-147.5,0.93,0.1644
75,168,-143.0,0.929,0.1404
76,192,-168.0,0.928,0.1776
77,238,-213.5,0.927,0.1796
78,161,-139.0,0.926,0.1308
79,183,-160.5,0.925,0.1461
80,113,-92.0,0.924,0.105
81,159,-137.0,0.923,0.1458
82,137,-116.5,0.922,0.1353
83,185,-162.0,0.921,0.1634
84,311,-287.5,0.92,0.2552
85,198,-173.0,0.919,0.1649
86,132,-110.0,0.918,0.1159
87,104,-83.0,0.918,0.0963
88,164,-143.0,0.917,0.1543
89,178,-155.5,0.916,0.1819
90,216,-192.0,0.915,0.177
91,141,-119.0,0.914,0.1215
92,124,-103.0,0.913,0.1736
93,106,-83.5,0.912,0.1237
94,136,-112.5,0.911,0.1243
95,150,-128.5,0.91,0.1326
96,195,-170.5,0.909,0.1808
97,162,-138.5,0.908,0.1347
98,137,-115.5,0.908,0.1385
99,256,-231.5,0.907,0.1992
100,147,-125.5,0.906,0.1271
101,152,-129.0,0.905,0.1474
102,144,-121.5,0.904,0.1381
103,111,-89.5,0.903,0.103
104,140,-118.5,0.902,0.1562
105,140,-119.5,0.901,0.1477
106,157,-135.5,0.9,0.1453
107,178,-155.0,0.899,0.1615
108,108,-86.0,0.898,0.1113
109,153,-131.5,0.898,0.1571
110,137,-114.5,0.897,0.1286
111,167,-146.0,0.896,0.1446
112,139,-118.0,0.895,0.2011
113,138,-115.0,0.894,0.1259
114,102,-81.5,0.893,0.1043
115,141,-120.5,0.892,0.122
116,123,-102.0,0.891,0.1208
117,176,-152.5,0.89,0.1745
118,167,-145.5,0.89,0.1487
119,145,-124.5,0.889,0.1169
120,105,-84.5,0.888,0.1112
121,123,-100.5,0.887,0.1253
122,92,-71.0,0.886,0.0894
123,103,-82.5,0.885,0.1007
124,83,-62.5,0.884,0.103
125,113,-92.0,0.883,0.0995
126,76,-55.0,0.882,0.0744
127,107,-85.0,0.882,0.1124
128,118,-96.5,0.881,0.1119
129,234,-211.0,0.88,0.2012
130,140,-117.0,0.879,0.1411
131,118,-97.5,0.878,0.1055
132,82,-61.0,0.877,0.087
133,81,-59.0,0.876,0.081
134,123,-100.5,0.875,0.1142
135,108,-85.0,0.875,0.1049
136,139,-117.0,0.874,0.1511
137,77,-54.5,0.873,0.0842
138,117,-95.5,0.872,0.1094
139,197,-175.5,0.871,0.177
140,142,-120.0,0.87,0.1582
141,110,-90.0,0.869,0.107
142,142,-120.0,0.868,0.1416
143,109,-86.5,0.868,0.102
144,95,-74.0,0.867,0.084
145,124,-103.5,0.866,0.1111
146,102,-80.0,0.865,0.0925
147,94,-72.0,0.864,0.0873
148,112,-90.0,0.863,0.0978
149,133,-112.0,0.862,0.1177
150,118,-97.5,0.862,0.1296
151,125,-105.0,0.861,0.123
152,179,-158.0,0.86,0.1516
153,93,-72.0,0.859,0.0881
154,120,-98.5,0.858,0.116
155,111,-89.5,0.857,0.1169
156,76,-55.0,0.856,0.084
157,60,-39.5,0.855,0.0685
158,96,-75.0,0.855,0.098
159,84,-63.5,0.854,0.0808
160,125,-105.0,0.853,0.1093
161,103,-80.0,0.852,0.1083
162,74,-53.0,0.851,0.0838
163,67,-44.0,0.85,0.0778
164,40,-20.0,0.85,0.0486
165,70,-49.0,0.849,0.0772
166,122,-99.5,0.848,0.1198
167,95,-74.5,0.847,0.0891
168,97,-76.0,0.846,0.0902
169,115,-94.0,0.845,0.103
170,57,-36.5,0.844,0.0634
171,80,-58.0,0.844,0.0984
172,102,-81.0,0.843,0.1075
173,96,-74.5,0.842,0.0928
174,87,-65.5,0.841,0.0829
175,97,-75.5,0.84,0.0902
176,70,-48.5,0.839,0.0825
177,61,-39.5,0.839,0.0714
178,113,-91.5,0.838,0.1042
179,66,-45.5,0.837,0.0684
180,69,-47.0,0.836,0.0704
181,102,-80.0,0.835,0.1083
182,64,-43.5,0.834,0.0755
183,109,-88.0,0.834,0.1071
184,68,-46.5,0.833,0.065
185,70,-48.0,0.832,0.0738
186,103,-83.0,0.831,0.1007
187,64,-43.0,0.83,0.0774
188,57,-36.5,0.829,0.0675
189,99,-77.5,0.829,0.106
190,91,-71.0,0.828,0.0875
191,72,-51.5,0.827,0.0725
192,68,-46.5,0.826,0.0645
193,94,-73.5,0.825,0.0895
194,80,-58.5,0.824,0.0751
195,123,-102.0,0.824,0.1054
