Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.3588
2,525,-497.0,0.999,0.3433
3,449,-421.5,0.998,0.3178
4,785,-750.5,0.997,0.5262
5,610,-580.5,0.996,0.4289
6,860,-824.0,0.995,0.605
7,382,-358.0,0.994,0.2722
8,467,-442.0,0.993,0.2979
9,549,-520.5,0.992,0.4047
10,656,-621.5,0.991,0.4334
11,504,-478.5,0.99,0.358
12,609,-579.0,0.989,0.4325
13,814,-781.5,0.988,0.55
14,441,-414.5,0.987,0.2982
15,407,-380.0,0.986,0.3361
16,710,-679.0,0.985,0.4603
17,379,-353.0,0.984,0.2776
18,630,-597.5,0.983,0.4442
19,543,-516.0,0.982,0.3854
20,398,-371.5,0.981,0.2771
21,325,-300.5,0.98,0.2089
22,501,-470.0,0.979,0.4032
23,345,-321.5,0.978,0.2087
24,586,-557.0,0.977,0.3734
25,354,-329.0,0.976,0.2562
26,610,-582.5,0.975,0.4385
27,424,-398.5,0.974,0.3028
28,500,-472.0,0.973,0.3515
29,226,-201.0,0.972,0.1731
30,419,-391.0,0.971,0.3112
31,316,-291.0,0.97,0.2075
32,259,-234.5,0.969,0.1762
33,354,-331.5,0.968,0.2488
34,490,-464.5,0.968,0.3393
35,362,-333.5,0.967,0.2577
36,455,-429.5,0.966,0.3248
37,256,-233.0,0.965,0.1793
38,202,-180.0,0.964,0.1394
39,411,-384.5,0.963,0.3023
40,326,-300.5,0.962,0.2003
41,295,-273.0,0.961,0.1852
42,285,-258.0,0.96,0.2114
43,364,-339.5,0.959,0.2668
44,408,-384.5,0.958,0.2882
45,278,-255.5,0.957,0.1999
46,270,-247.0,0.956,0.1965
47,244,-221.0,0.955,0.1803
48,341,-311.5,0.954,0.2451
49,436,-406.0,0.953,0.3155
50,209,-188.5,0.952,0.1512
51,179,-157.0,0.951,0.114
52,295,-273.0,0.95,0.2195
53,331,-306.5,0.949,0.2463
54,318,-296.0,0.948,0.2215
55,229,-208.5,0.947,0.1684
56,227,-205.0,0.946,0.1652
57,303,-279.5,0.946,0.226
58,178,-152.5,0.945,0.1315
59,226,-202.0,0.944,0.1561
60,209,-187.0,0.943,0.1478
61,201,-179.0,0.942,0.1433
62,141,-118.0,0.941,0.1163
63,247,-222.5,0.94,0.1824
64,229,-205.0,0.939,0.1439
65,172,-147.5,0.938,0.108
66,206,-182.0,0.937,0.1461
67,190,-168.0,0.936,0.1484
68,184,-159.0,0.935,0.1349
69,239,-217.0,0.934,0.1762
70,177,-156.0,0.933,0.135
71,281,-255.5,0.932,0.2137
72,193,-168.0,0.931,0.1492
73,227,-203.5,0.93,0.1594
74,172,-147.5,0.93,0.1227
75,168,-143.0,0.929,0.1276
76,192,-168.0,0.928,0.1349
77,238,-213.5,0.927,0.16
78,161,-139.0,0.926,0.1295
79,183,-160.5,0.925,0.1484
80,113,-92.0,0.924,0.0899
81,159,-137.0,0.923,0.1004
82,137,-116.5,0.922,0.1021
83,212,-189.0,0.921,0.1514
84,284,-261.0,0.92,0.1938
85,162,-138.5,0.919,0.1284
86,128,-105.5,0.918,0.0983
87,106,-85.0,0.918,0.0861
88,167,-146.0,0.917,0.1288
89,214,-191.5,0.916,0.1231
90,216,-192.0,0.915,0.1318
91,141,-119.0,0.914,0.1138
92,159,-137.5,0.913,0.1233
93,172,-149.0,0.912,0.1329
