Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.4688
2,525,-497.0,0.999,0.4693
3,449,-421.5,0.998,0.4186
4,785,-750.5,0.997,0.6901
5,610,-580.5,0.996,0.4842
6,860,-824.0,0.995,0.714
7,382,-358.0,0.994,0.3521
8,467,-442.0,0.993,0.3716
9,549,-520.5,0.992,0.4479
10,656,-621.5,0.991,0.5103
11,504,-478.5,0.99,0.411
12,609,-579.0,0.989,0.5678
13,814,-781.5,0.988,0.6783
14,441,-414.5,0.987,0.3496
15,407,-380.0,0.986,0.3377
16,710,-679.0,0.985,0.5991
17,379,-353.0,0.984,0.3177
18,630,-597.5,0.983,0.5711
19,543,-516.0,0.982,0.4252
20,398,-371.5,0.981,0.3007
21,325,-300.5,0.98,0.2775
22,501,-470.0,0.979,0.4426
23,345,-321.5,0.978,0.2888
24,586,-557.0,0.977,0.5034
25,354,-329.0,0.976,0.2833
26,610,-582.5,0.975,0.4788
27,424,-398.5,0.974,0.443
28,500,-472.0,0.973,0.4497
29,226,-201.0,0.972,0.1943
30,419,-391.0,0.971,0.318
31,316,-291.0,0.97,0.2537
32,259,-234.5,0.969,0.2196
33,354,-331.5,0.968,0.2991
34,490,-464.5,0.968,0.4189
35,362,-333.5,0.967,0.3143
36,455,-429.5,0.966,0.4874
37,256,-233.0,0.965,0.2064
38,202,-180.0,0.964,0.1685
39,411,-384.5,0.963,0.3071
40,326,-300.5,0.962,0.2518
41,295,-273.0,0.961,0.2298
42,285,-258.0,0.96,0.251
43,364,-339.5,0.959,0.3214
44,408,-384.5,0.958,0.3359
45,278,-255.5,0.957,0.2375
46,270,-247.0,0.956,0.2293
47,244,-221.0,0.955,0.1781
48,341,-311.5,0.954,0.2544
49,436,-406.0,0.953,0.3882
50,209,-188.5,0.952,0.2007
51,179,-157.0,0.951,0.1997
52,295,-273.0,0.95,0.275
53,331,-306.5,0.949,0.3062
54,318,-296.0,0.948,0.2703
55,229,-208.5,0.947,0.1727
56,227,-205.0,0.946,0.1819
57,303,-279.5,0.946,0.2161
58,178,-152.5,0.945,0.1636
59,226,-202.0,0.944,0.2146
60,209,-187.0,0.943,0.1747
61,201,-179.0,0.942,0.1748
62,141,-118.0,0.941,0.1392
63,247,-222.5,0.94,0.2287
64,229,-205.0,0.939,0.1839
65,172,-147.5,0.938,0.1705
66,206,-182.0,0.937,0.1879
67,190,-168.0,0.936,0.169
68,184,-159.0,0.935,0.1435
69,239,-217.0,0.934,0.1949
70,177,-156.0,0.933,0.1442
71,281,-255.5,0.932,0.2072
72,193,-168.0,0.931,0.1551
73,227,-203.5,0.93,0.1773
74,172,-147.5,0.93,0.1439
75,168,-143.0,0.929,0.1499
76,192,-168.0,0.928,0.1869
77,238,-213.5,0.927,0.209
78,161,-139.0,0.926,0.1527
79,183,-160.5,0.925,0.1636
80,113,-92.0,0.924,0.1113
81,159,-137.0,0.923,0.1357
82,137,-116.5,0.922,0.1245
83,212,-189.0,0.921,0.2021
84,284,-261.0,0.92,0.2239
85,162,-138.5,0.919,0.1218
86,128,-105.5,0.918,0.108
87,106,-85.0,0.918,0.0946
88,167,-146.0,0.917,0.1358
89,214,-191.5,0.916,0.1763
90,216,-192.0,0.915,0.201
