Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.4695
2,525,-497.0,0.999,0.4383
3,449,-421.5,0.998,0.3971
4,785,-750.5,0.997,0.8215
5,610,-580.5,0.996,0.6659
6,860,-824.0,0.995,1.5118
7,382,-358.0,0.994,0.5344
8,467,-442.0,0.993,0.5423
9,549,-520.5,0.992,0.6342
10,656,-621.5,0.991,0.774
11,504,-478.5,0.99,0.5476
12,609,-579.0,0.989,0.6189
13,814,-781.5,0.988,0.7249
14,441,-414.5,0.987,0.4545
15,407,-380.0,0.986,0.3094
16,710,-679.0,0.985,0.5847
17,379,-353.0,0.984,0.3523
18,630,-597.5,0.983,0.5621
19,543,-516.0,0.982,0.4317
20,398,-371.5,0.981,0.3365
21,325,-300.5,0.98,0.2645
22,501,-470.0,0.979,0.4101
23,345,-321.5,0.978,0.2945
24,586,-557.0,0.977,0.4965
25,354,-328.5,0.976,0.3002
26,610,-582.5,0.975,0.5126
27,424,-398.5,0.974,0.3788
28,500,-472.0,0.973,0.4193
29,226,-201.0,0.972,0.2024
30,419,-391.0,0.971,0.3706
31,316,-291.0,0.97,0.2767
32,259,-234.5,0.969,0.237
33,354,-331.5,0.968,0.3073
34,490,-464.5,0.968,0.4062
35,362,-333.5,0.967,0.3311
36,455,-429.5,0.966,0.354
37,256,-233.0,0.965,0.2353
38,202,-180.0,0.964,0.2037
39,411,-384.5,0.963,0.3243
40,326,-300.5,0.962,0.2899
41,295,-273.0,0.961,0.2525
42,285,-258.0,0.96,0.2546
43,364,-339.5,0.959,0.2782
44,408,-384.5,0.958,0.3412
45,278,-255.5,0.957,0.2408
46,270,-247.0,0.956,0.2576
47,244,-221.0,0.955,0.1898
48,341,-311.5,0.954,0.2747
49,436,-406.0,0.953,0.3663
50,209,-188.5,0.952,0.1871
51,179,-157.0,0.951,0.161
52,295,-273.0,0.95,0.2337
53,331,-306.5,0.949,0.2741
54,318,-296.0,0.948,0.2613
55,229,-208.5,0.947,0.201
56,227,-205.0,0.946,0.2088
57,303,-279.5,0.946,0.2392
58,178,-152.5,0.945,0.1563
59,226,-202.0,0.944,0.1999
60,209,-187.0,0.943,0.1701
61,201,-179.0,0.942,0.1677
62,141,-118.0,0.941,0.1228
63,247,-222.5,0.94,0.2207
64,229,-205.0,0.939,0.1907
65,172,-147.5,0.938,0.1534
66,206,-182.0,0.937,0.167
67,190,-168.0,0.936,0.174
68,184,-159.0,0.935,0.1789
69,239,-217.0,0.934,0.2081
70,177,-156.0,0.933,0.1438
71,281,-255.5,0.932,0.2362
72,193,-168.0,0.931,0.193
73,227,-203.5,0.93,0.194
74,172,-147.5,0.93,0.1462
75,168,-143.0,0.929,0.1225
76,192,-168.0,0.928,0.1544
77,238,-213.5,0.927,0.1931
78,161,-139.0,0.926,0.1419
79,183,-160.5,0.925,0.1576
80,113,-92.0,0.924,0.1079
81,159,-137.0,0.923,0.1185
82,137,-116.5,0.922,0.1385
83,212,-189.0,0.921,0.1925
84,284,-261.0,0.92,0.2194
85,162,-138.5,0.919,0.1444
86,128,-105.5,0.918,0.1142
87,106,-85.0,0.918,0.0919
88,167,-146.0,0.917,0.1453
89,214,-191.5,0.916,0.179
90,216,-192.0,0.915,0.1762
91,141,-119.0,0.914,0.1143
92,159,-137.5,0.913,0.1268
93,172,-149.0,0.912,0.1602
94,113,-91.5,0.911,0.1449
95,195,-170.0,0.91,0.1684
96,206,-181.5,0.909,0.2573
97,107,-85.5,0.908,0.0928
98,175,-152.0,0.908,0.1529
99,293,-268.5,0.907,0.283
100,163,-140.0,0.906,0.1618
101,144,-121.5,0.905,0.1225
102,115,-94.0,0.904,0.1098
103,136,-114.0,0.903,0.1261
104,196,-175.5,0.902,0.1729
105,137,-114.0,0.901,0.1046
106,179,-155.0,0.9,0.1455
107,146,-125.0,0.899,0.1341
108,129,-108.5,0.898,0.1114
109,174,-152.0,0.898,0.1567
110,201,-179.5,0.897,0.1774
111,142,-118.0,0.896,0.1322
112,135,-114.0,0.895,0.1334
113,138,-117.5,0.894,0.1266
114,123,-102.0,0.893,0.1086
115,176,-152.5,0.892,0.139
116,167,-145.5,0.891,0.1523
117,145,-123.5,0.89,0.1358
118,105,-84.0,0.89,0.1119
119,123,-100.0,0.889,0.1034
120,92,-70.0,0.888,0.0941
121,114,-94.0,0.887,0.1132
122,72,-51.5,0.886,0.0696
123,113,-92.5,0.885,0.112
124,76,-55.0,0.884,0.0728
125,107,-85.5,0.883,0.0907
126,118,-96.0,0.882,0.1109
