Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.4286
2,525,-497.0,0.999,0.4577
3,449,-421.5,0.998,0.4814
4,785,-750.5,0.997,0.5449
5,610,-580.5,0.996,0.3914
6,860,-824.0,0.995,0.583
7,382,-358.0,0.994,0.2692
8,467,-442.0,0.993,0.4125
9,549,-520.5,0.992,0.4089
10,656,-621.5,0.991,0.4326
11,504,-478.5,0.99,0.3553
12,609,-579.0,0.989,0.38
13,814,-781.5,0.988,0.6531
14,441,-414.5,0.987,0.3944
15,407,-380.0,0.986,0.3547
16,710,-679.0,0.985,0.4504
17,379,-353.0,0.984,0.2729
18,630,-597.5,0.983,0.4467
19,543,-516.0,0.982,0.3718
20,398,-371.5,0.981,0.2903
21,325,-300.5,0.98,0.208
22,501,-470.0,0.979,0.343
23,345,-321.5,0.978,0.2548
24,586,-557.0,0.977,0.3809
25,354,-328.5,0.976,0.2668
26,610,-582.5,0.975,0.4299
27,424,-398.5,0.974,0.3084
28,500,-472.0,0.973,0.3434
29,226,-201.0,0.972,0.1397
30,419,-391.0,0.971,0.2911
31,316,-291.0,0.97,0.2289
32,259,-234.5,0.969,0.1974
33,354,-331.5,0.968,0.2639
34,490,-464.5,0.968,0.3354
35,362,-333.5,0.967,0.3097
36,455,-429.5,0.966,0.3661
37,256,-233.0,0.965,0.253
38,202,-180.0,0.964,0.1457
39,411,-384.5,0.963,0.3163
40,326,-300.5,0.962,0.2964
41,295,-273.0,0.961,0.1957
42,285,-258.0,0.96,0.1973
43,364,-339.5,0.959,0.2435
44,408,-384.5,0.958,0.3448
45,278,-255.5,0.957,0.1991
46,270,-247.0,0.956,0.2299
47,244,-221.0,0.955,0.217
48,341,-311.5,0.954,0.2082
49,436,-406.0,0.953,0.2687
50,209,-188.5,0.952,0.1462
51,179,-157.0,0.951,0.1359
52,295,-273.0,0.95,0.1972
53,331,-306.5,0.949,0.2271
54,318,-296.0,0.948,0.2154
55,229,-208.5,0.947,0.1589
56,227,-205.0,0.946,0.1544
57,303,-279.5,0.946,0.2032
58,178,-152.5,0.945,0.1469
59,226,-202.0,0.944,0.2031
60,209,-187.0,0.943,0.1597
61,201,-179.0,0.942,0.1209
62,141,-118.0,0.941,0.0895
63,247,-222.5,0.94,0.1443
64,229,-205.0,0.939,0.1486
65,172,-147.5,0.938,0.1174
66,206,-182.0,0.937,0.1587
67,190,-168.0,0.936,0.1439
68,184,-159.0,0.935,0.1306
69,239,-217.0,0.934,0.1617
70,177,-156.0,0.933,0.1245
71,281,-255.5,0.932,0.2034
72,193,-168.0,0.931,0.1488
73,227,-203.5,0.93,0.1722
74,172,-147.5,0.93,0.1323
75,168,-143.0,0.929,0.143
76,192,-168.0,0.928,0.1521
77,238,-213.5,0.927,0.1309
78,161,-139.0,0.926,0.1173
79,183,-160.5,0.925,0.1395
80,113,-92.0,0.924,0.0821
81,159,-137.0,0.923,0.1305
82,137,-116.5,0.922,0.0867
83,212,-189.0,0.921,0.1394
84,284,-261.0,0.92,0.1991
85,162,-138.5,0.919,0.1165
86,128,-105.5,0.918,0.0894
87,106,-85.0,0.918,0.0796
88,167,-146.0,0.917,0.119
89,214,-191.5,0.916,0.1678
90,216,-192.0,0.915,0.1722
91,141,-119.0,0.914,0.1118
92,159,-137.5,0.913,0.1235
93,172,-149.0,0.912,0.136
94,113,-91.5,0.911,0.0971
95,195,-170.0,0.91,0.1413
96,206,-181.5,0.909,0.1268
97,107,-85.5,0.908,0.0899
98,175,-152.0,0.908,0.1385
99,293,-268.5,0.907,0.2102
100,163,-140.0,0.906,0.1225
101,144,-121.5,0.905,0.0941
102,115,-94.0,0.904,0.0861
103,136,-114.0,0.903,0.0937
104,196,-175.5,0.902,0.1309
105,137,-114.0,0.901,0.0914
106,179,-155.0,0.9,0.1277
107,146,-125.0,0.899,0.1014
108,129,-108.5,0.898,0.0991
109,174,-152.0,0.898,0.1307
110,201,-179.5,0.897,0.1426
111,142,-118.0,0.896,0.1002
112,135,-114.0,0.895,0.1002
113,138,-117.5,0.894,0.1151
114,123,-102.0,0.893,0.0991
115,176,-152.5,0.892,0.1374
116,167,-145.5,0.891,0.1092
117,145,-123.5,0.89,0.1155
118,105,-84.0,0.89,0.0872
119,123,-100.0,0.889,0.0973
120,92,-70.0,0.888,0.0738
121,114,-94.0,0.887,0.0901
122,72,-51.5,0.886,0.0603
123,113,-92.5,0.885,0.0862
124,76,-55.0,0.884,0.0606
125,107,-85.5,0.883,0.0812
126,118,-96.0,0.882,0.0857
127,156,-134.0,0.882,0.1044
128,170,-147.5,0.881,0.1148
129,146,-124.5,0.88,0.1114
130,92,-71.5,0.879,0.0801
131,76,-54.0,0.878,0.0591
132,120,-97.5,0.877,0.0939
133,125,-101.5,0.876,0.0923
134,117,-95.5,0.875,0.0746
135,105,-82.5,0.875,0.0825
136,166,-143.0,0.874,0.1195
137,112,-91.5,0.873,0.0861
138,140,-117.5,0.872,0.1222
139,118,-98.0,0.871,0.0908
140,130,-107.5,0.87,0.1148
141,62,-41.5,0.869,0.0546
142,117,-94.5,0.868,0.0695
143,137,-116.0,0.868,0.0879
144,89,-68.5,0.867,0.067
145,106,-83.5,0.866,0.0898
146,76,-55.0,0.865,0.0686
147,102,-80.5,0.864,0.0836
148,144,-123.5,0.863,0.117
149,117,-95.5,0.862,0.1021
150,163,-141.5,0.862,0.1277
151,120,-98.5,0.861,0.0972
152,96,-75.5,0.86,0.0742
153,129,-106.5,0.859,0.0972
154,124,-102.5,0.858,0.0968
155,76,-56.0,0.857,0.058
156,103,-81.5,0.856,0.0794
157,103,-82.5,0.855,0.0764
158,126,-106.0,0.855,0.0944
159,103,-80.0,0.854,0.0838
160,74,-52.5,0.853,0.061
161,67,-44.5,0.852,0.0464
162,49,-29.0,0.851,0.035
163,61,-40.0,0.85,0.0452
164,145,-123.0,0.85,0.0914
165,81,-61.0,0.849,0.054
166,100,-79.5,0.848,0.0688
167,103,-82.0,0.847,0.0947
168,57,-36.5,0.846,0.0575
169,80,-58.5,0.845,0.0785
170,102,-80.5,0.844,0.0911
171,113,-92.0,0.844,0.0819
172,129,-107.5,0.843,0.0838
173,81,-59.5,0.842,0.0667
174,55,-33.5,0.841,0.0503
175,85,-63.5,0.84,0.0782
176,108,-86.5,0.839,0.0911
177,78,-55.5,0.839,0.0713
178,111,-89.0,0.838,0.0958
179,81,-60.0,0.837,0.0702
180,111,-90.0,0.836,0.0955
181,85,-63.5,0.835,0.0693
182,75,-53.5,0.834,0.0707
183,113,-92.0,0.834,0.0944
184,54,-34.0,0.833,0.0481
185,76,-54.5,0.832,0.0696
186,88,-67.5,0.831,0.074
187,83,-62.5,0.83,0.0662
188,86,-64.5,0.829,0.0717
189,74,-51.5,0.829,0.059
190,96,-75.5,0.828,0.0796
191,108,-87.0,0.827,0.0858
192,93,-71.5,0.826,0.0808
193,76,-55.5,0.825,0.0617
194,114,-91.5,0.824,0.0823
195,44,-23.0,0.824,0.0407
196,72,-51.5,0.823,0.0611
197,66,-44.5,0.822,0.0537
198,53,-32.0,0.821,0.0479
199,76,-55.5,0.82,0.0721
200,71,-50.0,0.819,0.0712
201,58,-37.0,0.819,0.0638
202,88,-67.5,0.818,0.0906
203,87,-66.5,0.817,0.0948
204,85,-63.5,0.816,0.0634
205,60,-39.0,0.815,0.0462
206,60,-39.5,0.815,0.0441
207,69,-47.0,0.814,0.0513
208,71,-50.5,0.813,0.0536
209,74,-52.5,0.812,0.069
210,99,-76.5,0.811,0.086
211,71,-50.5,0.81,0.0507
212,72,-50.5,0.81,0.0506
213,36,-15.5,0.809,0.0314
214,90,-68.5,0.808,0.0575
215,41,-21.0,0.807,0.0319
216,82,-61.5,0.806,0.0711
217,94,-73.0,0.806,0.0705
218,80,-58.5,0.805,0.0596
219,78,-57.0,0.804,0.0587
220,48,-27.5,0.803,0.0377
221,57,-36.5,0.802,0.0425
222,60,-40.0,0.802,0.0501
223,51,-30.5,0.801,0.0437
224,79,-58.0,0.8,0.0688
225,60,-38.0,0.799,0.0606
226,64,-44.0,0.798,0.046
227,74,-51.5,0.798,0.0542
228,92,-71.5,0.797,0.0607
229,53,-32.0,0.796,0.0396
230,86,-65.0,0.795,0.0561
231,58,-37.5,0.794,0.0431
232,59,-38.5,0.794,0.0483
233,71,-49.5,0.793,0.0505
234,81,-58.5,0.792,0.0615
235,47,-26.5,0.791,0.0468
236,38,-16.5,0.79,0.0385
237,42,-22.0,0.79,0.0384
238,81,-60.0,0.789,0.0676
239,65,-43.0,0.788,0.0545
240,65,-42.0,0.787,0.0538
241,54,-33.5,0.787,0.0579
242,34,-13.0,0.786,0.0491
243,76,-56.0,0.785,0.0902
244,60,-39.0,0.784,0.0683
245,57,-36.5,0.783,0.0681
246,59,-37.5,0.783,0.0696
247,35,-14.0,0.782,0.0438
248,70,-49.5,0.781,0.0831
249,54,-33.5,0.78,0.0654
250,73,-52.0,0.779,0.0849
251,63,-41.5,0.779,0.0737
252,75,-54.5,0.778,0.0874
253,37,-16.5,0.777,0.0484
254,57,-36.0,0.776,0.0712
255,46,-25.0,0.776,0.0604
256,63,-41.0,0.775,0.0712
257,45,-24.5,0.774,0.056
258,101,-79.0,0.773,0.1069
259,67,-46.0,0.772,0.0689
260,55,-34.5,0.772,0.044
261,38,-18.0,0.771,0.0371
262,56,-35.5,0.77,0.0412
263,53,-32.5,0.769,0.0492
264,48,-26.0,0.769,0.0392
265,76,-54.5,0.768,0.0719
266,61,-39.5,0.767,0.0448
267,67,-46.0,0.766,0.048
268,52,-31.0,0.766,0.044
269,38,-17.0,0.765,0.0341
270,85,-63.5,0.764,0.0701
271,65,-43.5,0.763,0.0401
272,79,-57.0,0.763,0.0577
273,54,-33.0,0.762,0.0434
274,65,-44.0,0.761,0.0514
275,56,-34.0,0.76,0.0454
276,41,-20.5,0.759,0.0358
277,48,-28.0,0.759,0.0392
278,57,-36.0,0.758,0.0488
279,32,-12.0,0.757,0.0371
280,43,-22.5,0.756,0.0404
281,81,-60.0,0.756,0.0659
282,57,-35.5,0.755,0.0509
283,53,-33.0,0.754,0.0471
284,48,-27.5,0.753,0.049
285,56,-35.0,0.753,0.0529
286,41,-20.5,0.752,0.0411
287,59,-39.0,0.751,0.0526
288,49,-28.5,0.75,0.0505
289,64,-42.5,0.75,0.06
290,49,-28.5,0.749,0.0444
291,53,-31.5,0.748,0.0497
292,47,-25.5,0.747,0.0436
293,58,-37.0,0.747,0.0486
294,41,-20.0,0.746,0.0441
295,50,-30.0,0.745,0.0498
296,55,-35.0,0.744,0.0599
297,44,-24.0,0.744,0.0501
298,32,-11.5,0.743,0.0428
299,40,-19.5,0.742,0.0492
300,28,-8.0,0.741,0.0391
301,65,-44.5,0.741,0.0688
302,55,-34.5,0.74,0.0472
303,38,-17.0,0.739,0.0329
304,51,-30.5,0.738,0.0404
305,53,-32.5,0.738,0.0359
306,45,-23.5,0.737,0.0345
307,48,-26.5,0.736,0.0371
308,42,-21.5,0.736,0.0337
309,42,-21.0,0.735,0.0413
310,25,-4.5,0.734,0.0334
311,31,-11.0,0.733,0.0355
312,25,-4.5,0.733,0.0301
313,36,-16.0,0.732,0.0323
314,31,-10.0,0.731,0.0302
315,34,-14.0,0.73,0.042
316,62,-40.5,0.73,0.0582
317,67,-46.5,0.729,0.0606
318,38,-18.0,0.728,0.0382
319,82,-62.0,0.727,0.074
320,39,-19.0,0.727,0.0402
321,44,-23.5,0.726,0.0402
322,46,-26.0,0.725,0.0431
323,39,-19.0,0.725,0.0384
324,47,-25.5,0.724,0.0463
325,50,-29.5,0.723,0.0479
326,40,-20.0,0.722,0.0415
327,34,-13.5,0.722,0.0349
328,29,-8.5,0.721,0.0339
329,48,-27.5,0.72,0.0432
330,35,-14.5,0.72,0.035
331,28,-8.0,0.719,0.0285
332,54,-34.0,0.718,0.0488
333,44,-24.0,0.717,0.0401
334,38,-17.5,0.717,0.0348
335,57,-37.0,0.716,0.0525
336,41,-20.0,0.715,0.0407
337,36,-15.0,0.715,0.0399
338,41,-21.0,0.714,0.041
339,52,-29.0,0.713,0.0469
340,49,-28.5,0.712,0.05
341,64,-43.5,0.712,0.0567
342,68,-48.0,0.711,0.0584
343,30,-9.5,0.71,0.0314
344,59,-37.5,0.71,0.0509
345,45,-24.0,0.709,0.0457
346,33,-13.0,0.708,0.0371
347,45,-24.5,0.707,0.0473
348,55,-34.0,0.707,0.0546
349,32,-12.0,0.706,0.036
350,46,-24.5,0.705,0.0551
351,28,-8.0,0.705,0.0402
352,44,-24.0,0.704,0.0474
353,46,-25.5,0.703,0.049
354,55,-34.5,0.702,0.0559
355,26,-5.5,0.702,0.0386
356,25,-4.5,0.701,0.035
357,41,-20.5,0.7,0.0393
358,31,-10.0,0.7,0.0291
359,43,-22.5,0.699,0.034
360,28,-7.5,0.698,0.027
361,37,-17.0,0.698,0.0286
362,26,-5.5,0.697,0.0237
363,37,-17.0,0.696,0.0434
364,34,-13.5,0.695,0.0448
365,65,-44.5,0.695,0.0532
366,48,-27.0,0.694,0.0371
367,40,-19.5,0.693,0.0392
368,49,-28.0,0.693,0.044
369,45,-25.0,0.692,0.0339
370,30,-10.0,0.691,0.0296
371,48,-27.5,0.691,0.0428
372,34,-12.5,0.69,0.0268
373,34,-13.0,0.689,0.0347
374,33,-12.5,0.689,0.0397
375,30,-10.0,0.688,0.0295
376,41,-20.5,0.687,0.0427
377,32,-12.0,0.686,0.0317
378,32,-12.0,0.686,0.034
379,17,3.0,0.685,0.0283
380,44,-24.0,0.684,0.046
381,33,-13.0,0.684,0.0388
382,29,-8.5,0.683,0.0349
383,18,2.0,0.682,0.0232
384,36,-15.0,0.682,0.0395
385,24,-4.0,0.681,0.0317
386,33,-12.5,0.68,0.0386
387,43,-22.0,0.68,0.0416
388,43,-21.5,0.679,0.045
389,46,-25.5,0.678,0.045
390,51,-30.5,0.678,0.0483
391,33,-13.0,0.677,0.0348
392,30,-8.0,0.676,0.0328
393,32,-11.5,0.676,0.0343
394,42,-21.5,0.675,0.0419
395,23,-3.0,0.674,0.0295
396,67,-46.0,0.674,0.0522
397,40,-19.5,0.673,0.0324
398,26,-5.5,0.672,0.0295
399,48,-27.0,0.672,0.0408
400,39,-18.5,0.671,0.0307
401,34,-13.0,0.67,0.0289
402,40,-19.5,0.67,0.0299
403,26,-5.5,0.669,0.0212
404,29,-9.0,0.668,0.0259
405,32,-11.0,0.668,0.0268
406,40,-19.0,0.667,0.0325
407,20,0.5,0.666,0.0232
408,29,-9.0,0.666,0.0266
409,23,-3.0,0.665,0.0264
410,52,-31.5,0.664,0.0395
411,27,-5.5,0.664,0.0265
412,42,-22.0,0.663,0.0368
413,40,-20.0,0.662,0.0374
414,22,-2.0,0.662,0.03
415,23,-3.0,0.661,0.0374
416,41,-21.0,0.66,0.0522
417,30,-9.0,0.66,0.0401
418,44,-24.0,0.659,0.0498
419,33,-13.0,0.658,0.0475
420,19,1.0,0.658,0.0356
421,47,-27.0,0.657,0.0614
422,27,-5.5,0.656,0.0364
423,42,-21.0,0.656,0.0512
424,31,-10.5,0.655,0.029
425,42,-22.0,0.654,0.0347
426,27,-6.5,0.654,0.029
427,27,-6.0,0.653,0.0274
428,43,-22.0,0.652,0.0423
429,41,-20.0,0.652,0.0371
430,33,-12.5,0.651,0.0318
431,37,-16.0,0.65,0.0347
432,24,-4.0,0.65,0.0275
433,23,-3.0,0.649,0.0231
434,54,-34.0,0.648,0.0451
435,21,-1.0,0.648,0.0269
436,23,-2.5,0.647,0.0239
437,22,-1.5,0.646,0.021
438,40,-18.5,0.646,0.0351
439,43,-22.5,0.645,0.0342
440,35,-15.0,0.645,0.0285
441,34,-13.0,0.644,0.0317
442,31,-10.5,0.643,0.0322
