Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.3541
2,525,-497.0,0.999,0.3412
3,449,-421.5,0.998,0.3203
4,785,-750.5,0.997,0.5192
5,610,-580.5,0.996,0.3968
6,860,-824.0,0.995,0.5855
7,382,-358.0,0.994,0.2783
8,467,-442.0,0.993,0.3053
9,549,-520.5,0.992,0.3602
10,656,-621.5,0.991,0.4666
11,504,-478.5,0.99,0.3349
12,609,-579.0,0.989,0.4198
13,814,-781.5,0.988,0.558
14,441,-414.5,0.987,0.3132
15,407,-380.0,0.986,0.2682
16,710,-679.0,0.985,0.4968
17,379,-353.0,0.984,0.2508
18,630,-597.5,0.983,0.4101
19,543,-516.0,0.982,0.3883
20,398,-371.5,0.981,0.2691
21,325,-300.5,0.98,0.2328
22,501,-470.0,0.979,0.3322
23,345,-321.5,0.978,0.2423
24,586,-557.0,0.977,0.403
25,354,-329.0,0.976,0.24
26,610,-582.5,0.975,0.4074
27,424,-398.5,0.974,0.3035
28,500,-472.0,0.973,0.3415
29,226,-201.0,0.972,0.1492
30,419,-391.0,0.971,0.293
31,316,-291.0,0.97,0.2112
32,259,-234.5,0.969,0.2008
33,354,-331.5,0.968,0.2343
34,490,-464.5,0.968,0.3066
35,362,-333.0,0.967,0.2609
36,455,-429.5,0.966,0.3247
37,256,-233.0,0.965,0.1674
38,202,-180.0,0.964,0.1299
39,411,-384.5,0.963,0.2814
40,326,-300.5,0.962,0.2427
41,295,-273.0,0.961,0.2141
42,285,-258.0,0.96,0.2323
43,364,-339.5,0.959,0.2233
44,408,-384.5,0.958,0.2829
45,278,-255.5,0.957,0.1897
46,270,-247.0,0.956,0.1967
47,244,-221.0,0.955,0.1915
48,340,-310.5,0.954,0.2523
49,437,-407.0,0.953,0.2934
50,209,-188.5,0.952,0.1409
51,179,-157.0,0.951,0.1104
52,295,-273.0,0.95,0.2103
53,331,-306.5,0.949,0.2689
54,318,-296.0,0.948,0.2025
55,229,-208.5,0.947,0.1569
56,227,-205.0,0.946,0.1621
57,303,-279.5,0.946,0.2143
58,176,-150.5,0.945,0.1315
59,228,-203.5,0.944,0.1708
60,209,-187.0,0.943,0.1635
61,201,-179.0,0.942,0.1555
62,141,-118.0,0.941,0.1145
63,247,-222.5,0.94,0.1796
64,229,-205.0,0.939,0.1719
65,172,-147.5,0.938,0.1303
66,206,-182.0,0.937,0.1548
67,190,-168.0,0.936,0.1538
68,184,-159.0,0.935,0.1497
69,239,-217.0,0.934,0.1422
70,177,-156.0,0.933,0.1284
71,281,-255.5,0.932,0.1995
72,193,-168.0,0.931,0.1426
73,227,-203.5,0.93,0.1687
74,172,-147.5,0.93,0.1378
75,168,-143.0,0.929,0.1312
76,192,-168.0,0.928,0.1482
77,238,-213.5,0.927,0.1795
78,161,-139.0,0.926,0.1329
79,183,-160.5,0.925,0.1432
80,113,-92.0,0.924,0.0883
81,159,-137.0,0.923,0.1259
82,137,-116.5,0.922,0.1056
83,185,-162.0,0.921,0.1439
84,311,-287.5,0.92,0.2621
85,198,-173.0,0.919,0.1336
86,132,-110.0,0.918,0.0929
87,104,-83.0,0.918,0.1005
88,164,-143.0,0.917,0.1112
89,178,-155.5,0.916,0.1054
90,216,-192.0,0.915,0.1749
91,141,-119.0,0.914,0.1066
92,124,-103.0,0.913,0.0967
93,106,-83.5,0.912,0.0772
94,136,-112.5,0.911,0.0935
95,150,-128.5,0.91,0.0999
96,195,-170.5,0.909,0.1345
97,162,-138.5,0.908,0.1214
98,137,-115.5,0.908,0.1065
99,256,-231.5,0.907,0.1515
100,147,-125.5,0.906,0.0928
101,152,-129.0,0.905,0.1156
102,144,-121.5,0.904,0.1093
103,111,-89.5,0.903,0.0967
104,140,-118.5,0.902,0.1246
105,140,-119.5,0.901,0.1215
106,157,-135.5,0.9,0.0941
107,178,-155.0,0.899,0.1141
108,108,-86.0,0.898,0.0808
109,153,-131.5,0.898,0.1163
110,137,-114.5,0.897,0.1009
111,167,-146.0,0.896,0.1348
112,139,-118.0,0.895,0.1086
