Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.4407
2,525,-497.0,0.999,0.446
3,449,-421.5,0.998,0.3547
4,785,-750.5,0.997,0.5174
5,610,-580.5,0.996,0.41
6,860,-824.0,0.995,0.5981
7,382,-358.0,0.994,0.301
8,467,-442.0,0.993,0.3144
9,549,-520.5,0.992,0.3674
10,656,-621.5,0.991,0.4435
11,504,-478.5,0.99,0.3451
12,609,-579.0,0.989,0.3894
13,814,-781.5,0.988,0.5919
14,441,-414.5,0.987,0.309
15,407,-380.0,0.986,0.2796
16,710,-679.0,0.985,0.5112
17,379,-353.0,0.984,0.2715
18,630,-597.5,0.983,0.4351
19,543,-516.0,0.982,0.3825
20,398,-371.5,0.981,0.2781
21,325,-300.5,0.98,0.1867
22,501,-470.0,0.979,0.3438
23,345,-321.5,0.978,0.2552
24,586,-557.0,0.977,0.4082
25,354,-328.5,0.976,0.2474
26,610,-582.5,0.975,0.3998
27,424,-398.5,0.974,0.2823
28,500,-472.0,0.973,0.3358
29,226,-201.0,0.972,0.1459
30,419,-391.0,0.971,0.2567
31,316,-291.0,0.97,0.232
32,259,-234.5,0.969,0.1923
33,354,-331.5,0.968,0.242
34,490,-464.5,0.968,0.3168
35,362,-333.5,0.967,0.2562
36,455,-429.5,0.966,0.328
37,256,-233.0,0.965,0.2063
38,202,-180.0,0.964,0.13
39,411,-384.5,0.963,0.2779
40,326,-300.5,0.962,0.2123
41,295,-273.0,0.961,0.1877
42,285,-258.0,0.96,0.1779
43,364,-339.5,0.959,0.2242
44,408,-384.5,0.958,0.2617
45,278,-255.5,0.957,0.1685
46,270,-247.0,0.956,0.1617
47,244,-221.0,0.955,0.1773
48,341,-311.5,0.954,0.2633
49,436,-406.0,0.953,0.302
50,209,-188.5,0.952,0.1666
51,179,-157.0,0.951,0.1327
52,295,-273.0,0.95,0.2278
53,331,-306.5,0.949,0.2333
54,318,-296.0,0.948,0.2123
55,229,-208.5,0.947,0.158
56,227,-205.0,0.946,0.1599
57,303,-279.5,0.946,0.2204
58,178,-152.5,0.945,0.1182
59,226,-202.0,0.944,0.1618
60,209,-187.0,0.943,0.1648
61,201,-179.0,0.942,0.1658
62,141,-118.0,0.941,0.0937
63,247,-222.5,0.94,0.1556
64,229,-205.0,0.939,0.1617
65,172,-147.5,0.938,0.1099
66,206,-182.0,0.937,0.1294
67,190,-168.0,0.936,0.1214
68,184,-159.0,0.935,0.1495
69,239,-217.0,0.934,0.1429
70,177,-156.0,0.933,0.1126
71,281,-255.5,0.932,0.17
72,193,-168.0,0.931,0.1255
73,227,-203.5,0.93,0.1464
74,172,-147.5,0.93,0.1117
75,168,-143.0,0.929,0.1433
76,192,-168.0,0.928,0.1356
77,238,-213.5,0.927,0.1946
78,161,-139.0,0.926,0.1392
79,183,-160.5,0.925,0.1295
80,113,-92.0,0.924,0.1038
81,159,-137.0,0.923,0.1053
82,137,-116.5,0.922,0.0927
83,212,-188.5,0.921,0.13
84,284,-261.0,0.92,0.2074
85,162,-138.5,0.919,0.1452
86,128,-105.5,0.918,0.1071
87,106,-85.0,0.918,0.0818
88,167,-146.0,0.917,0.1039
89,214,-191.5,0.916,0.1488
90,216,-192.0,0.915,0.1564
91,141,-119.0,0.914,0.1102
92,159,-137.5,0.913,0.1159
93,172,-149.0,0.912,0.1237
94,113,-91.5,0.911,0.0862
95,195,-170.0,0.91,0.1435
96,206,-181.5,0.909,0.1659
97,107,-85.5,0.908,0.0975
98,175,-152.0,0.908,0.1129
99,293,-268.5,0.907,0.1884
100,163,-140.0,0.906,0.1092
101,144,-121.5,0.905,0.1006
102,115,-94.0,0.904,0.0863
103,136,-114.0,0.903,0.0829
104,196,-175.5,0.902,0.1415
105,137,-114.0,0.901,0.1107
106,179,-155.0,0.9,0.1338
107,146,-125.0,0.899,0.1117
108,129,-108.5,0.898,0.1025
