Pattern Index,State,Action,Q-Value
0,0,0,0.0
0,0,1,-0.69888
0,0,2,-0.7838208721554505
0,0,3,-0.7928500224
0,0,4,-0.7407597397665876
0,0,5,0.0
0,0,6,-0.7478637436230994
0,0,7,1.25
0,0,8,-0.7873843199999999
0,0,9,-0.7787040000597616
0,0,10,-0.528
0,0,11,-0.9359999999999999
0,0,12,-0.7769088
0,0,13,-0.48019660799999997
0,0,14,-0.7670931731060742
0,0,15,-0.7532801878565409
0,0,16,0.0
0,0,17,-0.777168805306368
0,0,18,-0.7932628991999999
0,0,19,-0.7198192502889065
0,0,20,-0.7636980694856687
0,0,21,-0.7639916649635785
0,0,22,-0.7188789653258368
0,0,23,-0.48049151999999995
0,0,24,-0.817152
0,0,25,-0.7948799999999999
0,0,26,-0.7728354414090789
0,0,27,-0.7757586432
0,0,28,-0.4500000000009664
0,0,29,-0.7674316882463372
0,0,30,-0.6900000681739342
0,0,31,-0.6801715199999999
0,0,32,-0.7787140663295999
0,0,33,-0.72768
0,0,34,-0.7585260688676618
0,0,35,-0.768
0,1,0,-0.79537353326592
0,1,1,-0.322272
0,1,2,-0.7884288
0,1,3,-0.8002228306463373
0,1,4,-0.7384915200000002
0,1,5,-0.7692515435039372
0,1,6,-0.79488
0,1,7,1.25
0,1,8,-0.48767999999999995
0,1,9,-0.7996773531648
0,1,10,-0.79356682371072
0,1,11,-0.682752
0,1,12,-0.8306420738111062
0,1,13,-0.7817319688490189
0,1,14,-0.7101632433322294
0,1,15,-0.7580177534518255
0,1,16,-0.6924288
0,1,17,-0.4511804122852661
0,1,18,-0.6
0,1,19,-0.7480808116510831
0,1,20,-0.758884752729593
0,1,21,-0.6
0,1,22,-0.7506667922665581
0,1,23,-0.787396608
0,1,24,-0.7101949822490633
0,1,25,-0.7392
0,1,26,-0.8735999999999999
0,1,27,-0.7408743055753333
0,1,28,-0.6
0,1,29,-0.6914915245569623
0,1,30,-0.82368
0,1,31,-0.4992
0,1,32,-0.775680805306368
0,1,33,-0.7219506432
0,1,34,-0.7655248808975155
0,1,35,-0.769212727613936
0,2,0,0.0
0,2,1,-0.6744576
0,2,2,-0.30049151999999996
0,2,3,-0.6900000000005495
0,2,4,-0.806123521319414
0,2,5,-0.6
0,2,6,-0.672688128
0,2,7,1.25
0,2,8,-0.7901080731648
0,2,9,-0.7556765829124747
0,2,10,-0.6612000414325546
0,2,11,-0.778752
0,2,12,-0.720000020615843
0,2,13,-0.7700966867948658
0,2,14,-0.6809088
0,2,15,-0.75745684033966
0,2,16,-0.7512577288490189
0,2,17,-0.4800786432
0,2,18,-0.6732308132659199
0,2,19,-0.788084736
0,2,20,-0.6978954272985349
0,2,21,-0.7915008013194139
0,2,22,-0.84
0,2,23,-0.8049246240768
0,2,24,-0.6
0,2,25,0.0
0,2,26,-0.84
0,2,27,-0.7948407963648001
0,2,28,-0.6924288
0,2,29,-0.7725782647265695
0,2,30,-0.9359999999999999
0,2,31,-0.795600027354428
0,2,32,-0.7450487672203151
0,2,33,-0.80812032
0,2,34,-0.7468348448985349
0,2,35,-0.7456800336986386
0,3,0,-0.74951958528
0,3,1,0.0
0,3,2,-0.672005053780643
0,3,3,-0.26249313999822266
0,3,4,-0.6
0,3,5,-0.7306528896565806
0,3,6,-0.7514369506320432
0,3,7,1.25
0,3,8,-0.754956582912
0,3,9,-0.758016
0,3,10,-0.7503939551003574
0,3,11,-0.72768
0,3,12,-0.7653546991405016
0,3,13,-0.7501074514463373
0,3,14,-0.7660021428192615
0,3,15,-0.764956479529104
0,3,16,-0.7615220497732722
0,3,17,-0.805632
0,3,18,-0.6
0,3,19,-0.7623585024
0,3,20,-0.6733074432
0,3,21,-0.7919998771335108
0,3,22,-0.7213223946107634
0,3,23,-0.780281999495843
0,3,24,0.0
0,3,25,-0.69120201326592
0,3,26,-0.783826638471168
0,3,27,-0.6476703851039372
0,3,28,-0.8259238362239899
0,3,29,-0.7635186932484056
0,3,30,-0.7957841721478349
0,3,31,-0.768671633250271
0,3,32,-0.7436640005298475
0,3,33,-0.84
0,3,34,-0.6737203199999999
0,3,35,-0.72768
0,4,0,-0.46686720000034587
0,4,1,-0.7527494266225828
0,4,2,-0.7455795320191949
0,4,3,-0.7697136578858188
0,4,4,-0.33843145728
0,4,5,0.0
0,4,6,-0.7917608053097317
0,4,7,1.25
0,4,8,-0.8084282572799999
0,4,9,-0.483072
0,4,10,-0.724975489283056
0,4,11,-0.6992778272985349
0,4,12,-0.7573127046951423
0,4,13,-0.6392477590483532
0,4,14,-0.48767999999999995
0,4,15,-0.7588532028113117
0,4,16,0.0
0,4,17,-0.8352
0,4,18,-0.768
0,4,19,-0.6763008
0,4,20,-0.7552977316846311
0,4,21,-0.6612000000000002
0,4,22,-0.8242176
0,4,23,-0.7860000000024305
0,4,24,0.0
0,4,25,-0.45100154605289233
0,4,26,-0.7948799999999999
0,4,27,-0.7367583851039372
0,4,28,-0.741072
0,4,29,-0.7859040010340228
0,4,30,-0.91776
0,4,31,-0.7850546331648001
0,4,32,-0.7392
0,4,33,-0.7960936404170326
0,4,34,0.0
0,4,35,-0.7200786431999999
0,5,0,-0.7496792996659201
0,5,1,-0.6433840827924701
0,5,2,-0.6420000206158429
0,5,3,-0.7575110985279726
0,5,4,-0.7531322572799999
0,5,5,-0.1812288
0,5,6,-0.7872000032985349
0,5,7,1.25
0,5,8,-0.723072
0,5,9,-0.81457152
0,5,10,-0.7500917145599999
0,5,11,-0.4503225756071535
0,5,12,-0.7138408962001395
0,5,13,-0.7072364544866276
0,5,14,-0.7739501421955138
0,5,15,-0.7231008013583475
0,5,16,-0.76798373186239
0,5,17,-0.7520736411648
0,5,18,-0.76972032
0,5,19,-0.48049151999999995
0,5,20,-0.7502257301225472
0,5,21,-0.6612000267077074
0,5,22,-0.45000000037213683
0,5,23,-0.7564826880721377
0,5,24,-0.7948799999999999
0,5,25,-0.798763008
0,5,26,-0.7618885306368
0,5,27,-0.6467870578817629
0,5,28,-0.7392
0,5,29,-0.795600331792834
0,5,30,-0.6
0,5,31,-0.7513359592882135
0,5,32,-0.7668510980132469
0,5,33,-0.6900000000105472
0,5,34,0.0
0,5,35,-0.7392
0,6,0,-0.6809088
0,6,1,-0.6300000000196422
0,6,2,-0.4800786432
0,6,3,-0.7525594859343834
0,6,4,-0.694272
0,6,5,0.0
0,6,6,-0.19919999999999996
0,6,7,1.25
0,6,8,-0.7945728
0,6,9,-0.79792247734272
0,6,10,-0.746326575529489
0,6,11,-0.6
0,6,12,-0.67298304
0,6,13,-0.7991858847044075
0,6,14,-0.675268608
0,6,15,-0.7380003564651301
0,6,16,-0.7364618841777719
0,6,17,-0.7757114572799999
0,6,18,-0.7507178279460132
0,6,19,-0.48000503316480003
0,6,20,-0.7595566286158429
0,6,21,-0.816384041231686
0,6,22,-0.4800786432
0,6,23,-0.72768
0,6,24,-0.76811010048
0,6,25,-0.7988494477610188
0,6,26,-0.769241382912
0,6,27,-0.801024
0,6,28,-0.6
0,6,29,-0.528
0,6,30,-0.8164915199999999
0,6,31,-0.7937250001554506
0,6,32,-0.7679543353884687
0,6,33,-0.80812032
0,6,34,-0.7226914657437655
0,6,35,-0.7273769070160118
0,7,0,-0.6732338331648
0,7,1,-0.6421966287075802
0,7,2,-0.7396832889951482
0,7,3,-0.48000201326591996
0,7,4,-0.6732288032985349
0,7,5,-0.7543295999999999
0,7,6,-0.4800000005277656
0,7,7,1.25
0,7,8,0.0
0,7,9,-0.6420126065133708
0,7,10,-0.48003145727999996
0,7,11,-0.483072
0,7,12,0.0
0,7,13,-0.48000201326591996
0,7,14,-0.48003145727999996
0,7,15,0.0
0,7,16,-0.4500000000699126
0,7,17,0.0
0,7,18,0.0
0,7,19,0.0
0,7,20,0.0
0,7,21,-0.4500465173163531
0,7,22,0.0
0,7,23,-0.4522245841439372
0,7,24,0.0
0,7,25,-0.7692288515396075
0,7,26,-0.45022580370030274
0,7,27,0.0
0,7,28,0.0
0,7,29,-0.483072
0,7,30,-0.4500000005151703
0,7,31,0.0
0,7,32,-0.6367468800199345
0,7,33,-0.7456800064262356
0,7,34,0.0
0,7,35,-0.45000177482916975
0,8,0,-0.7321344000001384
0,8,1,-0.7826756796633348
