Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.5143
2,525,-497.0,0.999,0.4928
3,449,-421.5,0.998,0.4027
4,785,-750.5,0.997,0.7894
5,610,-580.5,0.996,0.5026
6,860,-824.0,0.995,0.7192
7,382,-358.0,0.994,0.3302
8,467,-442.0,0.993,0.3837
9,549,-520.5,0.992,0.4697
10,656,-621.5,0.991,0.5586
11,504,-478.5,0.99,0.4248
12,609,-579.0,0.989,0.4939
13,814,-781.5,0.988,0.6799
14,441,-414.5,0.987,0.3509
15,407,-380.0,0.986,0.3686
16,710,-679.0,0.985,0.5636
17,379,-353.0,0.984,0.3006
18,630,-597.5,0.983,0.5649
19,543,-516.0,0.982,0.4389
20,398,-371.5,0.981,0.3406
21,325,-300.5,0.98,0.2968
22,501,-470.0,0.979,0.3938
23,345,-321.5,0.978,0.2852
24,586,-557.0,0.977,0.4757
25,354,-329.0,0.976,0.2757
26,610,-582.5,0.975,0.5221
27,424,-398.5,0.974,0.3661
28,500,-472.0,0.973,0.4399
29,226,-201.0,0.972,0.183
30,419,-391.0,0.971,0.3725
31,316,-291.0,0.97,0.2307
32,259,-234.5,0.969,0.188
33,354,-331.5,0.968,0.3148
34,490,-464.5,0.968,0.4047
35,362,-333.0,0.967,0.3252
36,455,-429.5,0.966,0.3617
37,256,-233.0,0.965,0.2189
38,202,-180.0,0.964,0.2111
39,411,-384.5,0.963,0.3505
40,326,-300.5,0.962,0.2611
41,295,-273.0,0.961,0.2428
42,285,-258.0,0.96,0.2362
43,364,-339.5,0.959,0.3152
44,408,-384.5,0.958,0.3198
45,278,-255.5,0.957,0.2267
46,270,-247.0,0.956,0.2436
47,244,-221.0,0.955,0.2026
48,341,-311.5,0.954,0.3115
49,436,-406.0,0.953,0.3816
50,209,-188.5,0.952,0.1996
51,179,-157.0,0.951,0.1619
52,295,-273.0,0.95,0.2323
53,331,-306.5,0.949,0.2849
54,318,-296.0,0.948,0.2407
55,228,-207.5,0.947,0.2121
56,228,-205.5,0.946,0.1856
57,303,-279.5,0.946,0.24
58,178,-152.5,0.945,0.1547
59,226,-202.0,0.944,0.2084
60,209,-187.0,0.943,0.1869
61,201,-179.0,0.942,0.1669
62,141,-118.0,0.941,0.1491
63,247,-222.5,0.94,0.2197
64,229,-205.0,0.939,0.1835
65,172,-147.5,0.938,0.1348
66,206,-182.0,0.937,0.1523
67,190,-168.0,0.936,0.1587
68,184,-159.0,0.935,0.1652
69,239,-217.0,0.934,0.2061
70,177,-156.0,0.933,0.1573
71,281,-255.5,0.932,0.2593
72,193,-168.0,0.931,0.1677
73,227,-203.5,0.93,0.1978
74,172,-147.5,0.93,0.201
75,168,-143.0,0.929,0.1578
76,192,-168.0,0.928,0.1714
77,238,-213.5,0.927,0.1902
78,161,-139.0,0.926,0.135
79,183,-160.5,0.925,0.1558
80,113,-92.0,0.924,0.0943
81,159,-137.0,0.923,0.1614
82,137,-116.5,0.922,0.1216
83,212,-189.0,0.921,0.1871
84,278,-255.0,0.92,0.2301
85,168,-144.5,0.919,0.1354
86,128,-105.5,0.918,0.116
87,106,-85.0,0.918,0.1074
88,167,-146.0,0.917,0.1655
89,214,-191.5,0.916,0.2058
90,216,-192.0,0.915,0.1725
91,141,-119.0,0.914,0.1218
92,159,-137.5,0.913,0.141
93,172,-149.0,0.912,0.1351
94,113,-91.5,0.911,0.0974
95,195,-170.0,0.91,0.2045
96,206,-181.5,0.909,0.2092
97,107,-85.5,0.908,0.1004
98,175,-152.0,0.908,0.1557
99,293,-268.5,0.907,0.2402
100,163,-140.0,0.906,0.1226
101,144,-121.5,0.905,0.1283
102,115,-93.5,0.904,0.1064
103,136,-114.0,0.903,0.1238
104,196,-175.5,0.902,0.1928
105,137,-114.0,0.901,0.1298
106,179,-155.0,0.9,0.1495
107,146,-125.0,0.899,0.107
108,129,-108.5,0.898,0.1161
109,174,-152.0,0.898,0.1559
110,201,-179.5,0.897,0.1808
111,142,-118.0,0.896,0.1349
112,135,-114.0,0.895,0.1255
113,138,-117.0,0.894,0.1412
114,123,-102.0,0.893,0.1185
115,176,-152.5,0.892,0.1534
116,167,-145.5,0.891,0.1419
117,145,-123.5,0.89,0.1266
118,105,-84.0,0.89,0.101
119,123,-100.0,0.889,0.1125
120,92,-70.0,0.888,0.099
121,114,-94.0,0.887,0.1081
122,72,-51.5,0.886,0.0872
123,113,-92.5,0.885,0.1215
124,76,-55.0,0.884,0.0795
125,101,-79.5,0.883,0.095
126,124,-102.5,0.882,0.1088
127,156,-134.0,0.882,0.13
128,170,-147.5,0.881,0.1527
129,146,-124.5,0.88,0.1182
130,92,-71.5,0.879,0.1073
131,76,-54.0,0.878,0.0777
132,120,-97.5,0.877,0.1208
133,106,-83.0,0.876,0.1013
134,120,-98.0,0.875,0.1014
135,114,-91.5,0.875,0.0955
136,117,-95.0,0.874,0.0997
137,168,-146.0,0.873,0.1413
138,140,-117.5,0.872,0.1099
139,118,-98.0,0.871,0.1168
140,130,-107.5,0.87,0.1276
141,62,-41.5,0.869,0.0692
142,117,-94.5,0.868,0.1058
143,137,-116.0,0.868,0.1355
144,89,-68.5,0.867,0.083
145,106,-83.5,0.866,0.0992
146,76,-55.0,0.865,0.0798
147,102,-80.5,0.864,0.097
148,144,-123.5,0.863,0.1355
149,117,-95.5,0.862,0.1094
150,163,-141.5,0.862,0.1358
151,120,-98.5,0.861,0.1224
152,92,-72.0,0.86,0.1042
153,133,-110.5,0.859,0.126
154,90,-69.5,0.858,0.0838
155,94,-72.0,0.857,0.0978
156,78,-57.0,0.856,0.0746
157,88,-67.5,0.855,0.0856
158,86,-66.0,0.855,0.0799
159,127,-105.0,0.854,0.1196
160,87,-64.5,0.853,0.0895
161,69,-48.0,0.852,0.0708
162,69,-47.5,0.851,0.0757
163,59,-38.5,0.85,0.1395
164,110,-88.5,0.85,0.1245
165,88,-66.0,0.849,0.0825
166,66,-45.5,0.848,0.0776
167,134,-113.0,0.847,0.1499
168,87,-66.5,0.846,0.0976
169,84,-61.5,0.845,0.1001
170,78,-58.0,0.844,0.0823
171,118,-96.0,0.844,0.1108
172,104,-82.0,0.843,0.1006
173,62,-42.0,0.842,0.0691
174,97,-75.0,0.841,0.0911
175,67,-45.0,0.84,0.071
176,136,-114.5,0.839,0.1304
177,71,-50.0,0.839,0.0684
178,64,-42.5,0.838,0.0674
179,102,-80.0,0.837,0.1082
180,64,-43.5,0.836,0.0675
181,109,-88.0,0.835,0.1021
182,76,-54.5,0.834,0.078
183,68,-46.0,0.834,0.0763
184,107,-87.0,0.833,0.097
185,63,-42.0,0.832,0.0712
186,64,-43.0,0.831,0.0661
187,83,-61.5,0.83,0.083
188,91,-71.0,0.829,0.095
189,72,-51.5,0.829,0.0792
190,74,-52.5,0.828,0.0798
191,95,-74.0,0.827,0.0937
192,74,-52.5,0.826,0.0794
193,122,-101.0,0.825,0.1259
194,61,-39.5,0.824,0.0757
195,105,-83.5,0.824,0.1019
196,81,-60.0,0.823,0.0844
197,38,-17.0,0.822,0.0385
198,91,-69.0,0.821,0.092
199,50,-29.0,0.82,0.0599
200,88,-67.0,0.819,0.0777
201,71,-50.5,0.819,0.0735
202,76,-55.0,0.818,0.076
203,59,-38.5,0.817,0.0756
204,79,-58.0,0.816,0.0915
205,65,-44.5,0.815,0.0742
206,88,-67.0,0.815,0.0916
207,57,-36.5,0.814,0.0586
208,80,-58.0,0.813,0.0794
209,90,-69.0,0.812,0.1083
210,65,-44.0,0.811,0.0702
211,100,-78.0,0.81,0.0945
212,74,-52.0,0.81,0.0901
213,64,-42.5,0.809,0.0651
214,62,-40.5,0.808,0.0566
215,90,-68.0,0.807,0.1442
216,41,-20.5,0.806,0.0534
217,82,-61.0,0.806,0.0854
218,94,-73.0,0.805,0.0997
219,77,-56.5,0.804,0.0745
220,81,-60.0,0.803,0.0873
221,48,-27.5,0.802,0.0646
222,57,-35.5,0.802,0.0728
223,60,-40.0,0.801,0.0726
224,51,-30.0,0.8,0.057
225,68,-47.5,0.799,0.0771
226,60,-38.5,0.798,0.0645
227,65,-44.0,0.798,0.0751
228,62,-40.5,0.797,0.0687
229,59,-38.0,0.796,0.0606
230,81,-59.5,0.795,0.0817
231,53,-32.5,0.794,0.06
232,88,-67.5,0.794,0.0937
233,79,-58.5,0.793,0.0652
234,61,-40.0,0.792,0.0607
235,64,-42.0,0.791,0.0599
236,65,-44.5,0.79,0.0592
237,50,-29.5,0.79,0.0596
238,49,-29.0,0.789,0.0526
239,81,-60.0,0.788,0.088
240,67,-45.0,0.787,0.0706
241,63,-40.5,0.787,0.0598
242,54,-33.5,0.786,0.0629
243,34,-13.0,0.785,0.0542
244,70,-48.5,0.784,0.072
245,78,-57.0,0.783,0.0783
246,51,-30.5,0.783,0.0595
247,54,-32.5,0.782,0.0592
248,34,-13.0,0.781,0.0385
249,70,-48.5,0.78,0.0742
250,45,-24.5,0.779,0.0566
251,82,-60.5,0.779,0.0744
252,57,-35.5,0.778,0.0672
253,63,-43.0,0.777,0.0625
254,39,-17.5,0.776,0.0517
255,57,-35.5,0.776,0.0745
256,44,-23.0,0.775,0.06
257,66,-44.0,0.774,0.0727
258,47,-26.5,0.773,0.0956
259,87,-66.0,0.772,0.0963
260,80,-58.5,0.772,0.0746
261,52,-32.0,0.771,0.0668
262,51,-30.0,0.77,0.0561
263,49,-28.0,0.769,0.0611
264,54,-33.5,0.769,0.0548
265,36,-15.0,0.768,0.0436
266,56,-34.0,0.767,0.0607
267,77,-54.5,0.766,0.0894
268,59,-37.5,0.766,0.0725
269,52,-31.5,0.765,0.0643
270,52,-30.5,0.764,0.0605
271,80,-58.5,0.763,0.0858
272,81,-59.5,0.763,0.0828
273,71,-49.0,0.762,0.0689
274,71,-50.0,0.761,0.0696
275,64,-43.5,0.76,0.065
276,54,-31.5,0.759,0.0594
277,32,-11.5,0.759,0.0427
278,47,-27.0,0.758,0.0554
279,27,-6.5,0.757,0.0345
280,66,-45.5,0.756,0.0692
281,34,-13.0,0.756,0.0464
282,39,-19.0,0.755,0.045
283,92,-70.0,0.754,0.0874
284,48,-28.0,0.753,0.0509
