Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.5399
2,525,-497.0,0.999,0.4031
3,449,-421.5,0.998,0.3503
4,785,-750.5,0.997,0.5299
5,610,-580.5,0.996,0.4175
6,860,-824.0,0.995,0.5783
7,382,-358.0,0.994,0.3225
8,467,-442.0,0.993,0.2825
9,549,-520.5,0.992,0.3782
10,656,-621.5,0.991,0.4653
11,504,-478.5,0.99,0.3551
12,609,-579.0,0.989,0.4208
13,814,-781.5,0.988,0.561
14,441,-414.5,0.987,0.3263
15,407,-380.0,0.986,0.2576
16,710,-679.0,0.985,0.4871
17,379,-353.0,0.984,0.2754
18,630,-597.5,0.983,0.4233
19,543,-516.0,0.982,0.3747
20,398,-371.5,0.981,0.2756
21,325,-300.5,0.98,0.2356
22,501,-470.0,0.979,0.3693
23,345,-321.5,0.978,0.2478
24,586,-557.0,0.977,0.4111
25,354,-329.0,0.976,0.2546
26,610,-582.5,0.975,0.4219
27,424,-398.5,0.974,0.3185
28,500,-472.0,0.973,0.2981
29,226,-201.0,0.972,0.1664
30,419,-391.0,0.971,0.2981
31,316,-291.0,0.97,0.235
32,259,-234.5,0.969,0.1912
33,354,-331.5,0.968,0.2579
34,490,-464.5,0.968,0.3474
35,362,-333.5,0.967,0.2535
36,455,-429.5,0.966,0.3007
37,256,-233.0,0.965,0.1665
38,202,-180.0,0.964,0.1435
39,411,-384.5,0.963,0.2709
40,326,-300.5,0.962,0.2286
41,295,-273.0,0.961,0.1978
42,285,-258.0,0.96,0.2059
43,364,-339.5,0.959,0.2467
44,408,-384.5,0.958,0.2592
45,278,-255.5,0.957,0.2005
46,270,-247.0,0.956,0.206
47,244,-221.0,0.955,0.1795
48,341,-311.5,0.954,0.2016
49,436,-406.0,0.953,0.3209
50,209,-188.5,0.952,0.1501
51,179,-157.0,0.951,0.1209
52,295,-273.0,0.95,0.186
53,331,-306.5,0.949,0.2249
54,318,-296.0,0.948,0.2389
55,229,-208.5,0.947,0.176
56,227,-205.0,0.946,0.1637
57,303,-279.5,0.946,0.2017
58,178,-152.5,0.945,0.1427
59,226,-202.0,0.944,0.1789
60,209,-187.0,0.943,0.127
61,201,-179.0,0.942,0.1379
62,141,-118.0,0.941,0.1101
63,247,-222.5,0.94,0.1736
64,229,-205.0,0.939,0.1675
65,172,-147.5,0.938,0.1246
