Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.3506
2,525,-497.0,0.999,0.3463
3,449,-421.5,0.998,0.3325
4,785,-750.5,0.997,0.5152
5,610,-580.5,0.996,0.4748
6,860,-824.0,0.995,0.5338
7,382,-358.0,0.994,0.2597
8,467,-442.0,0.993,0.2933
9,549,-520.5,0.992,0.3625
10,656,-621.5,0.991,0.4677
11,504,-478.5,0.99,0.3619
12,609,-579.0,0.989,0.4136
13,814,-781.5,0.988,0.588
14,441,-414.5,0.987,0.3125
15,407,-380.0,0.986,0.2779
16,710,-679.0,0.985,0.5005
17,379,-353.0,0.984,0.2587
18,630,-597.5,0.983,0.3775
19,543,-516.0,0.982,0.3473
20,398,-371.5,0.981,0.2753
21,325,-300.5,0.98,0.2165
22,501,-470.0,0.979,0.3449
23,345,-321.5,0.978,0.2551
24,586,-557.0,0.977,0.4519
25,354,-328.5,0.976,0.233
26,610,-582.5,0.975,0.3757
27,424,-398.5,0.974,0.2873
28,500,-472.0,0.973,0.3562
29,226,-201.0,0.972,0.1673
30,419,-391.0,0.971,0.2985
31,316,-291.0,0.97,0.2282
32,259,-234.5,0.969,0.1918
33,354,-331.5,0.968,0.2635
34,490,-464.5,0.968,0.2907
35,362,-333.5,0.967,0.2565
36,455,-429.5,0.966,0.3206
37,256,-233.0,0.965,0.1904
38,202,-180.0,0.964,0.1453
39,411,-384.5,0.963,0.2819
40,326,-300.5,0.962,0.236
41,295,-273.0,0.961,0.2109
42,285,-258.0,0.96,0.2134
43,364,-339.5,0.959,0.2627
44,408,-384.5,0.958,0.2567
45,278,-255.5,0.957,0.2005
46,270,-247.0,0.956,0.1922
47,244,-221.0,0.955,0.1778
48,341,-311.5,0.954,0.245
49,436,-406.0,0.953,0.3083
50,209,-188.5,0.952,0.1476
51,179,-157.0,0.951,0.125
52,295,-273.0,0.95,0.2117
53,331,-306.5,0.949,0.2341
54,318,-296.0,0.948,0.2358
55,229,-208.5,0.947,0.1353
56,227,-205.0,0.946,0.1567
57,303,-279.5,0.946,0.2221
58,178,-152.5,0.945,0.1315
59,226,-202.0,0.944,0.1619
60,209,-187.0,0.943,0.1443
61,201,-179.0,0.942,0.1471
62,141,-118.0,0.941,0.1059
63,247,-222.5,0.94,0.1767
64,229,-205.0,0.939,0.1713
65,172,-147.5,0.938,0.1369
66,206,-182.0,0.937,0.1555
67,190,-168.0,0.936,0.1375
68,184,-159.0,0.935,0.1574
69,239,-217.0,0.934,0.1778
70,177,-156.0,0.933,0.1034
71,281,-255.5,0.932,0.1898
72,193,-168.0,0.931,0.1393
73,227,-203.5,0.93,0.161
74,172,-147.5,0.93,0.1227
75,168,-143.0,0.929,0.101
76,192,-168.0,0.928,0.1251
77,238,-213.5,0.927,0.1892
78,161,-139.0,0.926,0.1286
79,183,-160.5,0.925,0.1381
80,113,-92.0,0.924,0.0929
81,159,-137.0,0.923,0.1231
82,137,-116.5,0.922,0.1049
83,212,-189.0,0.921,0.154
84,284,-261.0,0.92,0.213
85,162,-138.5,0.919,0.1357
86,128,-105.5,0.918,0.1015
87,106,-85.0,0.918,0.0725
88,167,-146.0,0.917,0.0986
89,214,-191.5,0.916,0.1513
90,216,-192.0,0.915,0.1482
91,141,-119.0,0.914,0.0925
92,159,-137.5,0.913,0.1021
93,172,-149.0,0.912,0.1216
94,113,-91.5,0.911,0.0818
95,195,-170.0,0.91,0.1371
96,206,-181.5,0.909,0.1477
97,107,-85.5,0.908,0.0771
98,175,-152.0,0.908,0.1353
99,293,-268.5,0.907,0.1985
100,163,-140.0,0.906,0.1255
101,144,-121.5,0.905,0.1132
102,115,-94.0,0.904,0.0891
103,136,-114.0,0.903,0.1028
104,196,-175.5,0.902,0.1739
105,137,-114.0,0.901,0.1214
106,179,-155.0,0.9,0.1409
107,146,-125.0,0.899,0.0881
108,129,-108.5,0.898,0.0924
109,174,-152.0,0.898,0.1277
110,201,-179.5,0.897,0.1494
111,142,-118.0,0.896,0.1048
112,135,-114.0,0.895,0.1041
113,138,-117.5,0.894,0.0978
114,123,-102.0,0.893,0.0924
115,176,-152.5,0.892,0.1295
116,167,-145.5,0.891,0.1119
117,145,-123.5,0.89,0.103
118,105,-84.0,0.89,0.083
119,123,-100.0,0.889,0.0948
120,92,-70.0,0.888,0.0701
121,114,-94.0,0.887,0.0898
122,72,-51.5,0.886,0.0696
123,113,-92.5,0.885,0.0917
124,76,-55.0,0.884,0.0629
125,107,-85.5,0.883,0.0916
126,118,-96.0,0.882,0.0981
127,156,-134.0,0.882,0.1256
128,170,-147.5,0.881,0.138
129,146,-124.5,0.88,0.1149
130,92,-71.5,0.879,0.06
131,76,-54.0,0.878,0.0615
132,120,-97.5,0.877,0.0867
133,106,-83.0,0.876,0.0903
134,120,-98.0,0.875,0.0893
135,114,-91.5,0.875,0.0842
136,117,-95.0,0.874,0.0907
137,168,-146.0,0.873,0.1196
138,140,-117.5,0.872,0.1096
139,118,-98.0,0.871,0.0887
140,130,-107.5,0.87,0.0965
141,62,-41.5,0.869,0.0509
142,117,-94.5,0.868,0.0969
143,137,-116.0,0.868,0.1118
144,89,-68.5,0.867,0.0776
145,106,-83.5,0.866,0.0873
146,76,-55.0,0.865,0.0669
147,102,-80.5,0.864,0.0882
148,144,-123.5,0.863,0.1092
149,117,-95.5,0.862,0.0994
