Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.5272
2,525,-497.0,0.999,0.4478
3,449,-421.5,0.998,0.4177
4,785,-750.5,0.997,0.6383
5,610,-580.5,0.996,0.5406
6,860,-824.0,0.995,0.7645
7,382,-358.0,0.994,0.3222
8,467,-442.0,0.993,0.4872
9,549,-520.5,0.992,0.4579
10,656,-621.5,0.991,0.5601
11,504,-478.5,0.99,0.39
12,609,-579.0,0.989,0.5819
13,814,-781.5,0.988,0.6334
14,441,-414.5,0.987,0.391
15,407,-380.0,0.986,0.3787
16,710,-679.0,0.985,0.5951
17,379,-353.0,0.984,0.3469
18,630,-597.5,0.983,0.5295
19,543,-516.0,0.982,0.4623
20,398,-371.5,0.981,0.3383
21,325,-300.5,0.98,0.2611
22,501,-470.0,0.979,0.4076
23,345,-321.5,0.978,0.3253
24,586,-557.0,0.977,0.5113
25,354,-329.0,0.976,0.3126
26,610,-582.5,0.975,0.4695
27,424,-398.5,0.974,0.3415
28,500,-472.0,0.973,0.3929
29,226,-201.0,0.972,0.2022
30,419,-391.0,0.971,0.3677
31,316,-291.0,0.97,0.2771
32,259,-234.5,0.969,0.2357
33,354,-331.5,0.968,0.2656
34,490,-464.5,0.968,0.4031
35,362,-333.5,0.967,0.2797
36,455,-429.5,0.966,0.415
37,256,-233.0,0.965,0.2336
38,202,-180.0,0.964,0.1645
39,411,-384.5,0.963,0.3359
40,326,-300.5,0.962,0.2775
41,295,-273.0,0.961,0.2573
42,285,-258.0,0.96,0.2419
43,364,-339.5,0.959,0.3019
44,408,-384.5,0.958,0.3495
45,278,-255.5,0.957,0.2476
46,270,-247.0,0.956,0.2402
47,244,-221.0,0.955,0.212
48,341,-311.5,0.954,0.3
49,436,-406.0,0.953,0.3623
50,209,-188.5,0.952,0.1835
51,179,-157.0,0.951,0.1583
52,295,-273.0,0.95,0.2533
53,331,-306.5,0.949,0.3259
54,318,-296.0,0.948,0.3199
55,229,-208.5,0.947,0.2598
56,227,-205.0,0.946,0.2042
57,303,-279.5,0.946,0.2688
58,178,-152.5,0.945,0.1621
59,226,-202.0,0.944,0.2068
60,209,-187.0,0.943,0.1844
61,201,-179.0,0.942,0.1688
62,141,-118.0,0.941,0.1201
63,247,-222.5,0.94,0.2124
64,229,-205.0,0.939,0.2137
65,172,-147.5,0.938,0.1394
66,206,-182.0,0.937,0.1701
67,190,-168.0,0.936,0.1622
68,184,-159.0,0.935,0.1596
69,239,-217.0,0.934,0.1947
70,177,-156.0,0.933,0.1491
71,281,-255.5,0.932,0.2365
72,193,-168.0,0.931,0.1686
73,227,-203.5,0.93,0.1728
74,172,-147.5,0.93,0.1393
75,168,-143.0,0.929,0.1397
76,192,-168.0,0.928,0.2127
77,238,-213.5,0.927,0.2262
78,161,-139.0,0.926,0.1354
79,183,-160.5,0.925,0.1445
80,113,-92.0,0.924,0.1002
81,159,-137.0,0.923,0.1485
82,137,-116.5,0.922,0.1328
83,212,-189.0,0.921,0.1694
84,284,-261.0,0.92,0.2368
85,162,-138.5,0.919,0.1469
86,128,-105.5,0.918,0.117
87,106,-85.0,0.918,0.1025
88,167,-146.0,0.917,0.1419
89,214,-191.5,0.916,0.197
90,216,-192.0,0.915,0.1857
91,141,-119.0,0.914,0.1218
92,159,-137.5,0.913,0.1271
93,172,-149.0,0.912,0.1753
94,113,-91.5,0.911,0.0942
95,195,-170.0,0.91,0.1736
96,206,-181.5,0.909,0.2378
97,107,-85.5,0.908,0.115
98,175,-152.0,0.908,0.152
99,293,-268.5,0.907,0.2912
100,163,-140.0,0.906,0.1379
101,144,-121.5,0.905,0.1274
102,115,-94.0,0.904,0.0938
103,136,-114.0,0.903,0.1182
104,196,-175.5,0.902,0.1539
105,137,-114.0,0.901,0.1101
