Pattern Index,State,Action,Q-Value
0,0,0,0.0
0,0,1,-0.33408
0,0,2,-0.5038378198323168
0,0,3,-0.5785407488000001
0,0,4,-0.4751567535171644
0,0,5,0.0
0,0,6,-0.4862948623324853
0,0,7,1.2499999986668102
0,0,8,-0.52868096
0,0,9,-0.5975956527125678
0,0,10,-0.192
0,0,11,-0.488
0,0,12,-0.4495872
0,0,13,-0.168388608
0,0,14,-0.5798587411428503
0,0,15,-0.4982852134614118
0,0,16,0.0
0,0,17,-0.6447430292057709
0,0,18,-0.5823156223999999
0,0,19,-0.4038552740583491
0,0,20,-0.5649710286498704
0,0,21,-0.6730706067510547
0,0,22,-0.38894656210293355
0,0,23,-0.17048576000000001
0,0,24,-0.555264
0,0,25,-0.46208
0,0,26,-0.5808656438217158
0,0,27,-0.44319088640000004
0,0,28,-0.15005090583593314
0,0,29,-0.4410559359403793
0,0,30,-0.3107941712578968
0,0,31,-0.31896576
0,0,32,-0.6371317661048179
0,0,33,-0.34048
0,0,34,-0.5705415518404645
0,0,35,-0.35200000000000004
0,1,0,-0.52651453906944
0,1,1,-0.21398399999999998
0,1,2,-0.45470720000000003
0,1,3,-0.6841189247403793
0,1,4,-0.4164906091579737
0,1,5,-0.5769353038251792
0,1,6,-0.46208000000000005
0,1,7,1.2499999978213958
0,1,8,-0.18048
0,1,9,-0.5976529338368
0,1,10,-0.57300242202624
0,1,11,-0.32486400000000004
0,1,12,-0.5488520503051794
0,1,13,-0.5078060948835533
0,1,14,-0.39331495540953115
0,1,15,-0.6124848162514136
0,1,16,-0.3267072
0,1,17,-0.15588359539246802
0,1,18,-0.2
0,1,19,-0.5326363442149312
0,1,20,-0.663265187768651
0,1,21,-0.2
0,1,22,-0.6262690542273904
0,1,23,-0.449988608
0,1,24,-0.388682056592796
0,1,25,-0.3456
0,1,26,-0.576
0,1,27,-0.4829232144910788
0,1,28,-0.2
0,1,29,-0.3165209545360914
0,1,30,-0.46848000000000006
0,1,31,-0.1856
0,1,32,-0.438679023255552
0,1,33,-0.40349488657323196
0,1,34,-0.5654658088585924
0,1,35,-0.6310494362372312
0,2,0,0.0
0,2,1,-0.3142144
0,2,2,-0.15048576000000002
0,2,3,-0.3100405542420203
0,2,4,-0.6020509286018427
0,2,5,-0.2
0,2,6,-0.306874368
0,2,7,1.2499999978177483
0,2,8,-0.6567018938368
0,2,9,-0.49941410371198985
0,2,10,-0.3042699725772597
0,2,11,-0.45286400000000004
0,2,12,-0.3209007199254741
0,2,13,-0.6330855588512332
0,2,14,-0.32158719999999996
0,2,15,-0.6157843268344538
0,2,16,-0.4180217748835533
0,2,17,-0.1667108864
0,2,18,-0.30385597906944006
0,2,19,-0.520062976
0,2,20,-0.3190860287523034
0,2,21,-0.5227523686018427
0,2,22,-0.36000000000000004
0,2,23,-0.7014315491328
0,2,24,-0.2
0,2,25,0.0
0,2,26,-0.36000000000000004
0,2,27,-0.5847030202368
0,2,28,-0.3267072
0,2,29,-0.5735826301617386
0,2,30,-0.488
0,2,31,-0.5345792995164746
0,2,32,-0.5205889045844143
0,2,33,-0.54199296
0,2,34,-0.4255959551523034
0,2,35,-0.4268471189719902
0,3,0,-0.41464307712000004
0,3,1,0.0
0,3,2,-0.2923366937622741
0,3,3,-0.18654274981637212
0,3,4,-0.2
0,3,5,-0.40835291283713604
0,3,6,-0.4949635697323911
0,3,7,1.2499999987460475
0,3,8,-0.42746296729600003
0,3,9,-0.43955200000000005
0,3,10,-0.5475779822682769
0,3,11,-0.34048
0,3,12,-0.6585053651613864
0,3,13,-0.4109386623403793
0,3,14,-0.5773044149818005
0,3,15,-0.5051568146160728
0,3,16,-0.5102584465080908
0,3,17,-0.550144
0,3,18,-0.2
0,3,19,-0.5580550595278245
0,3,20,-0.3078180864
0,3,21,-0.44594601364745184
0,3,22,-0.40989753723277333
0,3,23,-0.5220940280854741
0,3,24,0.0
0,3,25,-0.31634877906944003
0,3,26,-0.507446197092352
0,3,27,-0.3020251859371793
0,3,28,-0.5471742062701948
0,3,29,-0.5193968633141143
0,3,30,-0.6137916219378893
0,3,31,-0.6191150965619487
0,3,32,-0.4872814139248524
0,3,33,-0.36000000000000004
0,3,34,-0.31159296000000003
0,3,35,-0.34048
0,4,0,-0.15947309700196427
0,4,1,-0.4930477748610514
0,4,2,-0.5322691564184956
0,4,3,-0.6890810243879647
0,4,4,-0.25416870912
0,4,5,0.0
0,4,6,-0.5926097302277276
0,4,7,1.249999999339104
0,4,8,-0.67101990912
0,4,9,-0.176384
0,4,10,-0.4165439204437752
0,4,11,-0.31929082875230347
0,4,12,-0.6362428979506239
0,4,13,-0.2850050218531953
0,4,14,-0.18048
0,4,15,-0.50179986508663
0,4,16,0.0
0,4,17,-0.4736
0,4,18,-0.35200000000000004
0,4,19,-0.31749120000000003
0,4,20,-0.5882212692760624
0,4,21,-0.3036057072122494
0,4,22,-0.6265343999999999
0,4,23,-0.4380744086302006
0,4,24,0.0
0,4,25,-0.15594929084218548
0,4,26,-0.46208
0,4,27,-0.4290011859371793
0,4,28,-0.42238574532950446
0,4,29,-0.648144025375279
0,4,30,-0.66432
0,4,31,-0.5183543738368
0,4,32,-0.3456
0,4,33,-0.612750148418101
0,4,34,0.0
0,4,35,-0.3267108864
0,5,0,-0.4784928982745106
0,5,1,-0.2904860624045897
0,5,2,-0.2789038043063907
0,5,3,-0.6486589978633138
0,5,4,-0.42525990912
0,5,5,-0.0731072
0,5,6,-0.44217646075230344
0,5,7,1.2499999969418907
0,5,8,-0.336384
0,5,9,-0.54936576
0,5,10,-0.41424461824000003
0,5,11,-0.15472414703344492
0,5,12,-0.38945346590889834
0,5,13,-0.3842600389885599
0,5,14,-0.5575076507688219
0,5,15,-0.4100779597321123
0,5,16,-0.5676644880226078
0,5,17,-0.4186085818368
0,5,18,-0.43959296000000003
0,5,19,-0.17048576000000001
0,5,20,-0.4136550266044416
0,5,21,-0.30416031684071715
0,5,22,-0.15022754213100242
0,5,23,-0.6074359476471098
0,5,24,-0.46208
0,5,25,-0.601950208
0,5,26,-0.5463255416129915
0,5,27,-0.2892547316349141
0,5,28,-0.3456
0,5,29,-0.5349781856036838
0,5,30,-0.2
0,5,31,-0.5883089892952562
0,5,32,-0.6009896049365223
0,5,33,-0.3101004995236315
0,5,34,0.0
0,5,35,-0.3456
0,6,0,-0.32158719999999996
0,6,1,-0.2701208632149342
0,6,2,-0.1667108864
0,6,3,-0.5461471259515227
0,6,4,-0.32998400000000006
0,6,5,0.0
0,6,6,-0.08560000000000001
0,6,7,1.2499999966220985
0,6,8,-0.5386752
0,6,9,-0.63012464820224
0,6,10,-0.5358898669633321
0,6,11,-0.2
0,6,12,-0.30897152000000006
0,6,13,-0.5882930737436426
0,6,14,-0.312772608
0,6,15,-0.4082465198116104
0,6,16,-0.4697808235084731
0,6,17,-0.44184870912
0,6,18,-0.5935154803988869
0,6,19,-0.1634359738368
0,6,20,-0.4249693279254741
0,6,21,-0.6625374398509483
0,6,22,-0.1667108864
0,6,23,-0.34048
0,6,24,-0.42807959552
0,6,25,-0.6363573181795533
0,6,26,-0.433402167296
0,6,27,-0.5460480000000001
0,6,28,-0.2
0,6,29,-0.192
0,6,30,-0.45848576
0,6,31,-0.5718641878323167
0,6,32,-0.565141830776423
0,6,33,-0.54199296
0,6,34,-0.4019319111374742
0,6,35,-0.40479284363741763
0,7,0,-0.3045431738368
0,7,1,-0.2868979056349033
0,7,2,-0.42182457897783904
0,7,3,-0.16274877906944002
0,7,4,-0.30168366075230346
0,7,5,-0.4329984
0,7,6,-0.1603689348814742
0,7,7,1.2499999985483372
0,7,8,0.0
0,7,9,-0.28269096314165526
0,7,10,-0.16536870912
0,7,11,-0.176384
0,7,12,0.0
0,7,13,-0.16274877906944002
0,7,14,-0.16536870912
0,7,15,0.0
0,7,16,-0.1501114088697904
0,7,17,0.0
0,7,18,0.0
0,7,19,0.0
0,7,20,0.0
0,7,21,-0.15272721432184957
0,7,22,0.0
0,7,23,-0.1574966790571793
0,7,24,0.0
0,7,25,-0.43023309990684266
0,7,26,-0.15456893866485427
0,7,27,0.0
0,7,28,0.0
0,7,29,-0.176384
0,7,30,-0.15016613023774283
0,7,31,0.0
0,7,32,-0.27772520936281603
0,7,33,-0.42693340466768037
0,7,34,0.0
0,7,35,-0.15127863479322526
0,8,0,-0.4129826376015714
0,8,1,-0.4994273209891034
0,8,2,-0.45470720000000003
0,8,3,-0.18048
0,8,4,-0.46815411090751474
0,8,5,-0.60695997906944
0,8,6,-0.42678090790517936
0,8,7,1.2499999985243762
0,8,8,-0.277151495140488
0,8,9,-0.31384870911999996
0,8,10,-0.6700617728000001
0,8,11,-0.28953915082393256
0,8,12,-0.5872735846018428
0,8,13,-0.508199851888487
0,8,14,-0.30385446912
0,8,15,-0.5723274570277156
0,8,16,-0.5288800034389947
0,8,17,-0.5855710418804265
0,8,18,-0.4771606261192655
0,8,19,-0.4325431738368
0,8,20,-0.3456
0,8,21,-0.5340203083666034
0,8,22,-0.30286641860444163
0,8,23,-0.567872890965139
0,8,24,-0.306874368
0,8,25,-0.34048
0,8,26,-0.44349347754948937
0,8,27,-0.4495872
0,8,28,-0.4497592186044416
0,8,29,-0.488
0,8,30,-0.7288868864
0,8,31,0.0
0,8,32,-0.5442042694506656
0,8,33,-0.52438310912
0,8,34,-0.5691013989589825
0,8,35,-0.5950396440768002
0,9,0,-0.669595576500197
0,9,1,-0.5855874361771793
0,9,2,0.0
0,9,3,-0.6056896513199327
0,9,4,-0.32057646075230345
0,9,5,0.0
0,9,6,-0.5828121206591461
0,9,7,1.2499999990342734
0,9,8,-0.305135008740488
0,9,9,-0.25454345322459404
0,9,10,-0.6246912000000001
0,9,11,-0.36000000000000004
0,9,12,-0.3174912
0,9,13,-0.7380708966018428
0,9,14,-0.18048
0,9,15,-0.5427741696161471
0,9,16,-0.5123505934879948
0,9,17,-0.505416076951552
0,9,18,-0.2878136327618534
0,9,19,-0.28852437658509594
0,9,20,-0.33048576
0,9,21,-0.5163744136201435
0,9,22,-0.5956335126497854
0,9,23,-0.5660551446528
0,9,24,-0.2
0,9,25,-0.5728763658696892
0,9,26,-0.2
0,9,27,-0.42742317383680006
0,9,28,-0.36000000000000004
0,9,29,-0.524941671844378
0,9,30,-0.36000000000000004
0,9,31,-0.424186167296
0,9,32,-0.2
0,9,33,-0.3142144
0,9,34,-0.4158307710926827
0,9,35,-0.5760000000000001
0,10,0,-0.6539289989778063
0,10,1,-0.420543676416
0,10,2,-0.584618295296
0,10,3,-0.43066693978357945
0,10,4,-0.36000000000000004
0,10,5,-0.45286400000000004
0,10,6,-0.5446050875162086
0,10,7,1.249999998582156
0,10,8,-0.5290020864
0,10,9,-0.6084720256062813
0,10,10,-0.12647590912
0,10,11,-0.2
0,10,12,-0.44589496729600003
0,10,13,-0.4152166937622741
0,10,14,-0.4780549565845166
0,10,15,-0.303306223255552
0,10,16,-0.53241277906944
0,10,17,-0.5851698848071736
0,10,18,-0.15812607298910342
0,10,19,-0.31727048740190344
0,10,20,-0.5439771018580672
0,10,21,-0.328388608
0,10,22,-0.6827120203115392
0,10,23,-0.53163453906944
0,10,24,-0.32274877906944005
0,10,25,-0.31703597383680004
0,10,26,-0.6076452864
0,10,27,-0.6852687881096354
0,10,28,-0.2
0,10,29,-0.30500095453609133
0,10,30,-0.54526976
0,10,31,-0.2
0,10,32,-0.438679023255552
0,10,33,-0.522160128
0,10,34,-0.17310720000000002
0,10,35,-0.5414948864000001
0,11,0,-0.30298694208125715
0,11,1,-0.3839993173027769
0,11,2,-0.30647590912
0,11,3,-0.505576636416
0,11,4,-0.176384
0,11,5,-0.5052560312913126
0,11,6,-0.4463434526234519
0,11,7,1.2499999977575076
0,11,8,-0.32076800000000005
0,11,9,-0.5126533550098193
0,11,10,-0.6177544382482361
0,11,11,0.0
0,11,12,-0.38390392371651183
0,11,13,-0.15613912685123318
0,11,14,-0.168388608
0,11,15,-0.32158719999999996
0,11,16,-0.43816277249289187
0,11,17,-0.5644800000000001
0,11,18,0.0
0,11,19,-0.5965303808000001
0,11,20,-0.49222703501751197
0,11,21,-0.1507540816079596
0,11,22,-0.4298277759403793
0,11,23,-0.15078051182102228
0,11,24,-0.5248799491043744
0,11,25,-0.43627520000000003
0,11,26,-0.5288824430445008
0,11,27,-0.435652608
0,11,28,-0.42713738706944004
0,11,29,-0.17048576000000001
0,11,30,-0.2
0,11,31,-0.28098276529438276
0,11,32,-0.48084255481179766
0,11,33,-0.6403484901221969
0,11,34,-0.15001386703690836
0,11,35,-0.5354154290350057
0,12,0,-0.4926133674692805
0,12,1,-0.49816641347799173
0,12,2,-0.5190097338368
0,12,3,-0.565749675309621
0,12,4,-0.5495388578220817
0,12,5,-0.3040062652207729
0,12,6,-0.3972593714545228
0,12,7,1.2499999992202007
0,12,8,-0.33408
0,12,9,-0.558682566825057
0,12,10,-0.5796316109656932
0,12,11,-0.4255653820630235
0,12,12,-0.19477249969564475
0,12,13,-0.48147112154220195
0,12,14,-0.39373060976828694
0,12,15,-0.662798503517802
0,12,16,-0.2884488293541462
0,12,17,-0.1856
0,12,18,-0.4876774526775981
0,12,19,-0.4755509705228522
0,12,20,-0.17310720000000002
0,12,21,-0.28743810072184955
0,12,22,-0.464384
0,12,23,-0.6926440812048488
0,12,24,0.0
0,12,25,-0.5183363686018427
0,12,26,-0.4103508519026686
0,12,27,-0.3392
0,12,28,-0.2
0,12,29,-0.5511680000000001
0,12,30,-0.2
0,12,31,-0.5809403711503667
0,12,32,-0.618081982842141
0,12,33,-0.56448
0,12,34,-0.40559596140176646
0,12,35,-0.58319963930624
0,13,0,-0.599684386226327
0,13,1,-0.5670348612943436
0,13,2,-0.5113596982400919
0,13,3,-0.17048576000000001
0,13,4,-0.32536870912
0,13,5,-0.192
0,13,6,-0.41305342904547415
0,13,7,1.2499999974797555
0,13,8,-0.6261950275673747
0,13,9,-0.28643953598320815
0,13,10,-0.45696000000000003
0,13,11,-0.2
0,13,12,-0.47517578068852534
0,13,13,-0.144864
0,13,14,-0.4989646520014742
0,13,15,-0.48354598714122204
0,13,16,-0.35200000000000004
0,13,17,-0.431556608
0,13,18,-0.31812607298910345
0,13,19,-0.48292387029132583
0,13,20,-0.44319088640000004
0,13,21,-0.6213172706133
0,13,22,-0.5379523331158353
0,13,23,-0.34048
0,13,24,-0.432777216
