Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.4643
2,525,-497.0,0.999,0.3438
3,449,-421.5,0.998,0.4284
4,785,-750.5,0.997,0.5547
5,610,-580.5,0.996,0.4415
6,860,-824.0,0.995,0.5901
7,382,-358.0,0.994,0.2457
8,467,-442.0,0.993,0.2827
9,549,-520.5,0.992,0.3626
10,656,-621.5,0.991,0.413
11,504,-478.5,0.99,0.3695
12,609,-579.0,0.989,0.4233
13,814,-781.5,0.988,0.4905
14,441,-414.5,0.987,0.2504
15,407,-380.0,0.986,0.324
16,710,-679.0,0.985,0.4569
17,379,-353.0,0.984,0.2662
18,630,-597.5,0.983,0.4078
19,543,-516.0,0.982,0.3272
20,398,-371.5,0.981,0.2645
21,325,-300.5,0.98,0.2357
22,501,-470.0,0.979,0.3346
23,345,-321.5,0.978,0.2215
24,586,-557.0,0.977,0.4028
25,354,-329.0,0.976,0.2427
26,610,-582.5,0.975,0.392
27,424,-398.5,0.974,0.2676
28,500,-472.0,0.973,0.3446
29,226,-201.0,0.972,0.1596
30,419,-391.0,0.971,0.2862
31,316,-291.0,0.97,0.1936
32,259,-234.5,0.969,0.1876
33,354,-331.5,0.968,0.2561
34,490,-464.5,0.968,0.3419
35,362,-333.5,0.967,0.2271
36,455,-429.5,0.966,0.3105
37,256,-233.0,0.965,0.1913
38,202,-180.0,0.964,0.157
39,411,-384.5,0.963,0.29
40,326,-300.5,0.962,0.2241
41,295,-273.0,0.961,0.1643
42,285,-258.0,0.96,0.1855
43,364,-339.5,0.959,0.2311
44,408,-384.5,0.958,0.2474
45,278,-255.5,0.957,0.1782
46,270,-247.0,0.956,0.1677
47,244,-221.0,0.955,0.163
48,341,-311.5,0.954,0.2196
49,436,-406.0,0.953,0.284
50,209,-188.5,0.952,0.1612
51,179,-157.0,0.951,0.1298
52,295,-273.0,0.95,0.2049
53,331,-306.5,0.949,0.2218
54,318,-296.0,0.948,0.1866
55,229,-208.5,0.947,0.1694
56,227,-205.0,0.946,0.1644
57,303,-279.5,0.946,0.2092
58,178,-152.5,0.945,0.1238
59,226,-202.0,0.944,0.1534
60,209,-187.0,0.943,0.1529
61,201,-179.0,0.942,0.1439
62,141,-118.0,0.941,0.1003
63,247,-222.5,0.94,0.1713
64,229,-205.0,0.939,0.1675
65,172,-147.5,0.938,0.126
66,206,-182.0,0.937,0.1509
67,190,-168.0,0.936,0.1216
68,184,-159.0,0.935,0.1218
69,239,-217.0,0.934,0.1733
70,177,-156.0,0.933,0.1339
71,281,-255.5,0.932,0.2161
72,193,-168.0,0.931,0.145
73,227,-203.5,0.93,0.1513
74,172,-147.5,0.93,0.1148
75,168,-143.0,0.929,0.0986
76,192,-168.0,0.928,0.1267
77,238,-213.5,0.927,0.175
78,161,-139.0,0.926,0.1161
79,183,-160.5,0.925,0.1321
80,113,-92.0,0.924,0.0868
81,159,-137.0,0.923,0.1275
82,137,-116.5,0.922,0.1117
83,212,-189.0,0.921,0.1538
84,284,-261.0,0.92,0.1752
85,162,-138.5,0.919,0.1172
86,128,-105.5,0.918,0.1045
87,106,-85.0,0.918,0.0777
88,167,-146.0,0.917,0.127
89,214,-191.5,0.916,0.1639
90,216,-192.0,0.915,0.144
91,141,-119.0,0.914,0.1021
92,159,-137.5,0.913,0.1036
93,172,-149.0,0.912,0.1047
94,113,-91.5,0.911,0.0865
95,195,-170.0,0.91,0.1387
96,206,-181.5,0.909,0.1488
97,107,-85.5,0.908,0.0771
