Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.3857
2,525,-497.0,0.999,0.3652
3,449,-421.5,0.998,0.3235
4,785,-750.5,0.997,0.5338
5,610,-580.5,0.996,0.4373
6,860,-824.0,0.995,0.5431
7,382,-358.0,0.994,0.2784
8,467,-442.0,0.993,0.3015
9,549,-520.5,0.992,0.3627
10,656,-621.5,0.991,0.4844
11,504,-478.5,0.99,0.3816
12,609,-579.0,0.989,0.3773
13,814,-781.5,0.988,0.5192
14,441,-414.5,0.987,0.2785
15,407,-380.0,0.986,0.2516
16,710,-679.0,0.985,0.5503
17,379,-353.0,0.984,0.345
18,630,-597.5,0.983,0.3938
19,543,-516.0,0.982,0.3558
20,398,-371.5,0.981,0.2416
21,325,-300.5,0.98,0.1903
22,501,-470.0,0.979,0.3508
23,345,-321.5,0.978,0.2587
24,586,-557.0,0.977,0.4006
25,354,-328.5,0.976,0.2449
26,610,-582.5,0.975,0.4349
27,424,-398.5,0.974,0.3043
28,500,-472.0,0.973,0.3554
29,226,-201.0,0.972,0.1732
30,419,-391.0,0.971,0.2966
31,316,-291.0,0.97,0.2263
32,259,-234.5,0.969,0.1941
33,354,-331.5,0.968,0.2638
34,490,-464.5,0.968,0.2811
35,362,-333.5,0.967,0.2561
36,455,-429.5,0.966,0.3325
37,256,-233.0,0.965,0.1917
38,202,-180.0,0.964,0.144
39,411,-384.5,0.963,0.3105
40,326,-300.5,0.962,0.2357
41,295,-273.0,0.961,0.2109
42,285,-258.0,0.96,0.2147
43,364,-339.5,0.959,0.2488
44,408,-384.5,0.958,0.2904
45,278,-255.5,0.957,0.1986
46,270,-247.0,0.956,0.2024
47,244,-221.0,0.955,0.1832
48,341,-311.5,0.954,0.2452
49,436,-406.0,0.953,0.3072
50,209,-188.5,0.952,0.1385
51,179,-157.0,0.951,0.1332
52,295,-273.0,0.95,0.1981
53,331,-306.5,0.949,0.2979
54,318,-296.0,0.948,0.2606
55,229,-208.5,0.947,0.1402
56,227,-205.0,0.946,0.1491
57,303,-279.5,0.946,0.1877
58,178,-152.5,0.945,0.1119
59,226,-202.0,0.944,0.1394
60,209,-187.0,0.943,0.1437
61,201,-179.0,0.942,0.1406
62,141,-118.0,0.941,0.1032
63,247,-222.5,0.94,0.1762
64,229,-205.0,0.939,0.1659
65,172,-147.5,0.938,0.1269
66,206,-182.0,0.937,0.1599
67,190,-168.0,0.936,0.1495
68,184,-159.0,0.935,0.1406
69,239,-217.0,0.934,0.1873
70,177,-156.0,0.933,0.1222
71,281,-255.5,0.932,0.1566
72,193,-168.0,0.931,0.1394
73,227,-203.5,0.93,0.1691
74,172,-147.5,0.93,0.1256
75,168,-143.0,0.929,0.1168
76,192,-168.0,0.928,0.1414
77,238,-213.5,0.927,0.1813
78,161,-139.0,0.926,0.1241
79,183,-160.5,0.925,0.1413
80,113,-92.0,0.924,0.0903
81,159,-137.0,0.923,0.1255
82,137,-116.5,0.922,0.1103
83,212,-188.5,0.921,0.1547
84,284,-261.0,0.92,0.2079
85,162,-138.5,0.919,0.1275
86,128,-105.5,0.918,0.1046
87,106,-85.0,0.918,0.0795
88,167,-146.0,0.917,0.1031
89,214,-191.5,0.916,0.1389
90,216,-192.0,0.915,0.1572
91,141,-119.0,0.914,0.1106
92,159,-137.5,0.913,0.1293
93,172,-149.0,0.912,0.1335
94,113,-91.5,0.911,0.0927
95,195,-170.0,0.91,0.1363
96,206,-181.5,0.909,0.1411
97,107,-85.5,0.908,0.085
98,175,-152.0,0.908,0.1193
99,293,-268.5,0.907,0.1912
100,163,-140.0,0.906,0.1213
101,144,-121.5,0.905,0.1104
102,115,-94.0,0.904,0.0896
103,136,-114.0,0.903,0.0997
104,196,-175.5,0.902,0.1602
105,137,-114.0,0.901,0.1271
106,179,-155.0,0.9,0.1436
107,146,-125.0,0.899,0.0933
