Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.3701
2,525,-497.0,0.999,0.3213
3,449,-421.5,0.998,0.2686
4,785,-750.5,0.997,0.4712
5,610,-580.5,0.996,0.4306
6,860,-824.0,0.995,0.5882
7,382,-358.0,0.994,0.2212
8,467,-442.0,0.993,0.307
9,549,-520.5,0.992,0.3688
10,656,-621.5,0.991,0.4526
11,504,-478.5,0.99,0.3401
12,609,-579.0,0.989,0.437
13,814,-781.5,0.988,0.5378
14,441,-414.5,0.987,0.3178
15,407,-380.0,0.986,0.2663
16,710,-679.0,0.985,0.4761
17,379,-353.0,0.984,0.2614
18,630,-597.5,0.983,0.4396
19,543,-516.0,0.982,0.3451
20,398,-371.5,0.981,0.245
21,325,-300.5,0.98,0.222
22,501,-470.0,0.979,0.2992
23,345,-321.5,0.978,0.2663
24,586,-557.0,0.977,0.3992
25,354,-328.5,0.976,0.2518
26,610,-582.5,0.975,0.4299
27,424,-398.5,0.974,0.271
28,500,-472.0,0.973,0.3208
29,226,-201.0,0.972,0.1665
30,419,-391.0,0.971,0.2833
31,316,-291.0,0.97,0.2132
32,259,-234.5,0.969,0.1871
33,354,-331.5,0.968,0.238
34,490,-464.5,0.968,0.3496
35,362,-333.5,0.967,0.2592
36,455,-429.5,0.966,0.2975
37,256,-233.0,0.965,0.17
38,202,-180.0,0.964,0.1471
39,411,-384.5,0.963,0.2481
40,326,-300.5,0.962,0.2294
41,295,-273.0,0.961,0.2044
42,285,-258.0,0.96,0.1909
43,364,-339.5,0.959,0.2483
44,408,-384.5,0.958,0.2931
45,278,-255.5,0.957,0.2097
46,270,-247.0,0.956,0.2079
47,244,-221.0,0.955,0.1471
48,341,-311.5,0.954,0.2002
49,436,-406.0,0.953,0.3157
50,209,-188.5,0.952,0.1655
51,179,-157.0,0.951,0.1371
52,295,-273.0,0.95,0.2151
53,331,-306.5,0.949,0.2345
54,318,-296.0,0.948,0.2284
55,229,-208.5,0.947,0.1606
56,227,-205.0,0.946,0.155
57,303,-279.5,0.946,0.223
58,178,-152.5,0.945,0.1478
