Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.4985
2,525,-497.0,0.999,0.4604
3,449,-421.5,0.998,0.4416
4,785,-750.5,0.997,0.6541
5,610,-580.5,0.996,0.4806
6,860,-824.0,0.995,0.6706
7,382,-358.0,0.994,0.3175
8,467,-442.0,0.993,0.3795
9,549,-520.5,0.992,0.4688
10,656,-621.5,0.991,0.5402
11,504,-478.5,0.99,0.4223
12,609,-579.0,0.989,0.4809
13,814,-781.5,0.988,0.6661
14,441,-414.5,0.987,0.3475
15,407,-380.0,0.986,0.3559
16,710,-679.0,0.985,0.5975
17,379,-353.0,0.984,0.3121
18,630,-597.5,0.983,0.5198
19,543,-516.0,0.982,0.4576
20,398,-371.5,0.981,0.3302
21,325,-300.5,0.98,0.2672
22,501,-470.0,0.979,0.4339
23,345,-321.5,0.978,0.2754
24,586,-557.0,0.977,0.5846
25,354,-329.0,0.976,0.3118
26,610,-582.5,0.975,0.4871
27,424,-398.5,0.974,0.3213
28,500,-472.0,0.973,0.432
29,226,-201.0,0.972,0.198
30,419,-391.0,0.971,0.3611
31,316,-291.0,0.97,0.2733
32,259,-234.5,0.969,0.203
33,354,-331.5,0.968,0.3045
34,490,-464.5,0.968,0.3538
35,362,-333.0,0.967,0.3228
36,455,-429.5,0.966,0.3769
37,256,-233.0,0.965,0.2503
38,202,-180.0,0.964,0.2131
39,411,-384.5,0.963,0.3457
40,326,-300.5,0.962,0.2942
41,295,-273.0,0.961,0.2457
42,285,-258.0,0.96,0.232
43,364,-339.5,0.959,0.3103
44,408,-384.5,0.958,0.3133
45,278,-255.5,0.957,0.231
46,270,-247.0,0.956,0.2243
47,244,-221.0,0.955,0.2016
48,340,-310.5,0.954,0.2787
49,437,-407.0,0.953,0.3579
50,209,-188.5,0.952,0.1779
51,179,-157.0,0.951,0.1385
52,295,-273.0,0.95,0.2578
53,331,-306.5,0.949,0.2803
54,318,-296.0,0.948,0.2185
55,229,-208.5,0.947,0.1926
56,227,-205.0,0.946,0.2071
57,303,-279.5,0.946,0.2387
58,176,-150.5,0.945,0.1314
59,228,-203.5,0.944,0.1763
60,209,-187.0,0.943,0.1816
61,201,-179.0,0.942,0.1724
62,141,-118.0,0.941,0.1216
63,247,-222.5,0.94,0.2011
64,229,-205.0,0.939,0.203
65,172,-147.5,0.938,0.1517
66,206,-182.0,0.937,0.1789
67,190,-168.0,0.936,0.157
68,184,-159.0,0.935,0.1542
69,239,-217.0,0.934,0.2055
70,177,-156.0,0.933,0.1488
71,281,-255.5,0.932,0.2596
72,193,-168.0,0.931,0.199
73,227,-203.5,0.93,0.1845
74,172,-147.5,0.93,0.1539
75,168,-143.0,0.929,0.1579
76,192,-168.0,0.928,0.1664
77,238,-213.5,0.927,0.2234
78,161,-139.0,0.926,0.1365
79,183,-160.5,0.925,0.1766
80,113,-92.0,0.924,0.0963
81,159,-137.0,0.923,0.1334
82,137,-116.5,0.922,0.1405
83,185,-162.0,0.921,0.2098
84,311,-287.5,0.92,0.2847
85,198,-173.0,0.919,0.1721
86,132,-110.0,0.918,0.1237
87,104,-83.0,0.918,0.1005
88,164,-143.0,0.917,0.1338
89,178,-155.5,0.916,0.1608
90,216,-192.0,0.915,0.1732
91,141,-119.0,0.914,0.1308
92,124,-103.0,0.913,0.0986
93,106,-83.5,0.912,0.1049
94,136,-112.5,0.911,0.1209
95,150,-128.5,0.91,0.1284
96,195,-170.5,0.909,0.1648
97,162,-138.5,0.908,0.1573
98,137,-115.5,0.908,0.1312
99,256,-231.5,0.907,0.2195
100,147,-125.5,0.906,0.1236
101,152,-129.0,0.905,0.1371
102,144,-121.5,0.904,0.1209
103,111,-89.5,0.903,0.1201
104,140,-118.5,0.902,0.1194
105,140,-119.5,0.901,0.1302
106,157,-135.5,0.9,0.1267
107,178,-155.0,0.899,0.2261
108,108,-86.0,0.898,0.1146
109,153,-131.5,0.898,0.1388
110,137,-114.5,0.897,0.1089
111,167,-146.0,0.896,0.1446
112,139,-118.0,0.895,0.1274
113,138,-115.0,0.894,0.1307
114,102,-81.5,0.893,0.1217
115,141,-120.5,0.892,0.1302
