Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.4008
2,525,-497.0,0.999,0.3231
3,449,-421.5,0.998,0.304
4,785,-750.5,0.997,0.5285
5,610,-580.5,0.996,0.3764
6,860,-824.0,0.995,0.6029
7,382,-358.0,0.994,0.3556
8,467,-442.0,0.993,0.3503
9,549,-520.5,0.992,0.3124
10,656,-621.5,0.991,0.3714
11,504,-478.5,0.99,0.2816
12,609,-579.0,0.989,0.4049
13,814,-781.5,0.988,0.5736
14,441,-414.5,0.987,0.3139
15,407,-380.0,0.986,0.2497
16,710,-679.0,0.985,0.4418
17,379,-353.0,0.984,0.2633
18,630,-597.5,0.983,0.4595
19,543,-516.0,0.982,0.3882
20,398,-371.5,0.981,0.2617
21,325,-300.5,0.98,0.2054
22,501,-470.0,0.979,0.3149
23,345,-321.5,0.978,0.2376
24,586,-557.0,0.977,0.3997
25,354,-329.0,0.976,0.2588
26,610,-582.5,0.975,0.4169
27,424,-398.5,0.974,0.2508
28,500,-472.0,0.973,0.3236
29,226,-201.0,0.972,0.1466
30,419,-391.0,0.971,0.2511
31,316,-291.0,0.97,0.2319
32,259,-234.5,0.969,0.1921
33,354,-331.5,0.968,0.2334
34,490,-464.5,0.968,0.3262
35,362,-333.0,0.967,0.2545
36,455,-429.5,0.966,0.2915
37,256,-233.0,0.965,0.1759
38,202,-180.0,0.964,0.1506
39,411,-384.5,0.963,0.249
40,326,-300.5,0.962,0.1801
41,295,-273.0,0.961,0.1721
42,285,-258.0,0.96,0.1948
43,364,-339.5,0.959,0.2611
44,408,-384.5,0.958,0.2949
45,278,-255.5,0.957,0.192
46,270,-247.0,0.956,0.1801
47,244,-221.0,0.955,0.1686
48,340,-310.5,0.954,0.1991
49,437,-407.0,0.953,0.2924
50,209,-188.5,0.952,0.1425
51,179,-157.0,0.951,0.1224
52,295,-273.0,0.95,0.2044
53,331,-306.5,0.949,0.2412
54,318,-296.0,0.948,0.2305
55,229,-208.5,0.947,0.176
56,227,-205.0,0.946,0.1689
57,303,-279.5,0.946,0.2065
58,176,-150.5,0.945,0.1456
59,228,-203.5,0.944,0.1635
60,209,-187.0,0.943,0.134
61,201,-179.0,0.942,0.1136
62,141,-118.0,0.941,0.0929
63,247,-222.5,0.94,0.1559
64,229,-205.0,0.939,0.1457
65,172,-147.5,0.938,0.112
66,206,-182.0,0.937,0.1458
67,190,-168.0,0.936,0.1364
68,184,-159.0,0.935,0.1331
69,239,-217.0,0.934,0.1642
70,177,-156.0,0.933,0.1257
71,281,-255.5,0.932,0.1906
72,193,-168.0,0.931,0.1344
73,227,-203.5,0.93,0.1582
74,172,-147.5,0.93,0.1343
75,168,-143.0,0.929,0.1282
76,192,-168.0,0.928,0.1364
77,238,-213.5,0.927,0.1393
78,161,-139.0,0.926,0.0952
79,183,-160.5,0.925,0.1275
80,113,-92.0,0.924,0.0808
81,159,-137.0,0.923,0.1113
82,137,-116.5,0.922,0.0944
83,185,-162.0,0.921,0.1333
84,311,-287.5,0.92,0.1905
85,198,-173.0,0.919,0.1211
86,132,-110.0,0.918,0.1049
87,104,-83.0,0.918,0.0864
88,164,-143.0,0.917,0.1376
89,178,-155.5,0.916,0.132
90,216,-192.0,0.915,0.1511
91,141,-119.0,0.914,0.1118
92,124,-103.0,0.913,0.0933
93,106,-83.5,0.912,0.0813
94,136,-112.5,0.911,0.0915
95,150,-128.5,0.91,0.1132
96,195,-170.5,0.909,0.1417
97,162,-138.5,0.908,0.0973
98,137,-115.5,0.908,0.077
99,256,-231.5,0.907,0.1683
100,147,-125.5,0.906,0.1071
101,152,-129.0,0.905,0.098
102,144,-121.5,0.904,0.0981
103,111,-89.5,0.903,0.0771
104,140,-118.5,0.902,0.1057
105,140,-119.5,0.901,0.1125
106,157,-135.5,0.9,0.1265
107,178,-155.0,0.899,0.1379
108,108,-86.0,0.898,0.0782
109,153,-131.5,0.898,0.1156
110,137,-114.5,0.897,0.1037
111,167,-146.0,0.896,0.1301
112,139,-118.0,0.895,0.1121
113,138,-115.0,0.894,0.1069
114,102,-81.5,0.893,0.0859
115,141,-120.5,0.892,0.1076
116,123,-102.0,0.891,0.1042
117,176,-152.5,0.89,0.153
118,167,-145.5,0.89,0.1248
119,145,-124.5,0.889,0.1046
120,105,-84.5,0.888,0.0787
121,123,-100.5,0.887,0.1003
122,92,-71.0,0.886,0.0732
123,103,-82.5,0.885,0.0745
124,83,-62.5,0.884,0.0598
125,113,-92.0,0.883,0.0717
126,76,-55.0,0.882,0.0639
127,107,-85.0,0.882,0.0766
128,118,-96.5,0.881,0.0705
129,234,-211.0,0.88,0.1499
130,140,-117.0,0.879,0.1059
131,118,-97.5,0.878,0.0818
132,82,-61.0,0.877,0.0652
133,81,-59.0,0.876,0.0711
134,123,-100.5,0.875,0.0907
135,108,-85.0,0.875,0.0854
136,139,-117.0,0.874,0.1167
137,77,-54.5,0.873,0.0537
138,117,-95.5,0.872,0.0882
139,197,-175.5,0.871,0.1402
140,142,-120.0,0.87,0.1072
141,110,-90.0,0.869,0.0902
142,142,-120.0,0.868,0.1086
143,109,-86.5,0.868,0.0875
144,95,-74.0,0.867,0.065
145,124,-103.5,0.866,0.0783
146,102,-80.0,0.865,0.0762
147,94,-72.0,0.864,0.0715
148,112,-90.0,0.863,0.0757
149,133,-112.0,0.862,0.0987
150,118,-97.5,0.862,0.0803
151,125,-105.0,0.861,0.078
152,179,-158.0,0.86,0.1062
153,93,-72.0,0.859,0.0698
154,120,-98.5,0.858,0.0824
155,111,-89.5,0.857,0.0768
156,76,-55.0,0.856,0.052
157,60,-39.5,0.855,0.0438
158,96,-75.0,0.855,0.0724
159,84,-63.5,0.854,0.0771
160,125,-105.0,0.853,0.1046
161,103,-80.0,0.852,0.0843
162,74,-53.0,0.851,0.0619
163,67,-44.0,0.85,0.0582
164,40,-20.0,0.85,0.0394
165,70,-49.0,0.849,0.0606
166,122,-99.5,0.848,0.0903
167,95,-74.5,0.847,0.0782
168,97,-76.0,0.846,0.0712
169,115,-94.0,0.845,0.0904
170,57,-36.5,0.844,0.0463
171,80,-58.0,0.844,0.0616
172,102,-81.0,0.843,0.0912
173,96,-74.5,0.842,0.0775
174,87,-65.5,0.841,0.0773
175,97,-75.5,0.84,0.0838
176,70,-48.5,0.839,0.055
177,61,-39.5,0.839,0.0421
178,113,-91.5,0.838,0.0858
179,66,-45.5,0.837,0.056
180,69,-47.0,0.836,0.0523
181,102,-80.0,0.835,0.0732
182,64,-43.5,0.834,0.0481
183,109,-88.0,0.834,0.0777
184,68,-46.5,0.833,0.0518
185,70,-48.0,0.832,0.046
186,103,-83.0,0.831,0.0684
187,64,-43.0,0.83,0.0433
188,57,-36.5,0.829,0.0453
189,99,-77.5,0.829,0.0776
190,91,-71.0,0.828,0.0719
191,72,-51.5,0.827,0.0546
192,68,-46.5,0.826,0.0601
193,94,-73.5,0.825,0.0823
194,80,-58.5,0.824,0.07
195,123,-102.0,0.824,0.0985
196,86,-65.0,0.823,0.0771
197,80,-58.5,0.822,0.0695
198,81,-60.0,0.821,0.0699
199,62,-41.0,0.82,0.0573
200,64,-42.0,0.819,0.0529
201,53,-31.5,0.819,0.0463
202,88,-67.0,0.818,0.0728
203,77,-56.0,0.817,0.064
204,72,-50.0,0.816,0.0625
205,57,-36.5,0.815,0.0572
206,79,-58.0,0.815,0.0639
207,72,-52.0,0.814,0.0583
208,72,-50.5,0.813,0.0747
209,53,-32.5,0.812,0.0512
210,62,-41.5,0.811,0.0545
211,77,-54.5,0.81,0.0626
212,78,-57.0,0.81,0.0614
213,108,-86.0,0.809,0.0759
214,55,-34.0,0.808,0.0373
215,61,-40.5,0.807,0.0566
216,60,-39.0,0.806,0.0551
217,29,-8.5,0.806,0.0307
218,91,-69.5,0.805,0.067
219,41,-21.0,0.804,0.043
220,82,-61.5,0.803,0.0579
221,94,-73.0,0.802,0.0629
222,77,-56.0,0.802,0.0515
223,81,-60.0,0.801,0.0581
224,48,-27.5,0.8,0.0359
225,57,-36.0,0.799,0.046
226,55,-35.0,0.798,0.0607
227,57,-36.5,0.798,0.049
228,59,-38.5,0.797,0.0404
229,69,-48.0,0.796,0.048
230,65,-44.0,0.795,0.0439
231,62,-40.0,0.794,0.0453
232,53,-31.5,0.794,0.0455
233,85,-63.0,0.793,0.0629
234,55,-34.5,0.792,0.043
235,98,-77.0,0.791,0.0685
236,50,-29.5,0.79,0.0421
237,59,-38.5,0.79,0.0452
238,69,-47.0,0.789,0.0447
239,81,-60.0,0.788,0.064
240,50,-29.0,0.787,0.0456
241,58,-38.0,0.787,0.0521
242,72,-51.0,0.786,0.0581
243,65,-43.0,0.785,0.0435
244,65,-43.0,0.784,0.0615
245,54,-33.0,0.783,0.0489
246,34,-12.5,0.783,0.034
247,67,-47.0,0.782,0.0616
248,52,-31.0,0.781,0.0451
249,61,-40.5,0.78,0.053
250,44,-23.0,0.779,0.0407
251,51,-28.5,0.779,0.0466
252,53,-33.0,0.778,0.0493
253,59,-38.0,0.777,0.059
254,48,-27.5,0.776,0.0478
255,79,-57.5,0.776,0.0616
256,59,-38.0,0.775,0.056
257,39,-18.5,0.774,0.0383
258,38,-17.0,0.773,0.0387
259,72,-50.5,0.772,0.0549
260,33,-11.5,0.772,0.0253
261,67,-45.0,0.771,0.0494
262,56,-36.0,0.77,0.0496
263,83,-61.5,0.769,0.0649
264,65,-44.0,0.769,0.052
265,37,-17.0,0.768,0.0387
266,54,-33.0,0.767,0.0402
267,46,-25.5,0.766,0.0369
268,54,-33.5,0.766,0.0423
269,36,-15.5,0.765,0.029
270,47,-26.0,0.764,0.0364
271,71,-48.0,0.763,0.0495
272,43,-22.0,0.763,0.036
273,55,-34.0,0.762,0.0431
274,55,-33.0,0.761,0.0422
275,55,-33.5,0.76,0.043
276,78,-57.0,0.759,0.0597
277,68,-46.0,0.759,0.0463
278,57,-35.5,0.758,0.0474
279,54,-32.5,0.757,0.0488
280,60,-39.5,0.756,0.0614
281,49,-26.5,0.756,0.0447
282,35,-14.0,0.755,0.026
283,54,-34.0,0.754,0.0431
284,27,-6.5,0.753,0.023
285,57,-36.5,0.753,0.0433
286,32,-11.5,0.752,0.03
287,44,-23.5,0.751,0.0407
288,99,-77.0,0.75,0.0756
289,48,-27.5,0.75,0.0364
290,41,-21.0,0.749,0.0372
291,52,-31.0,0.748,0.0514
292,62,-40.5,0.747,0.061
293,35,-14.5,0.747,0.0397
294,48,-27.5,0.746,0.0484
295,54,-33.5,0.745,0.0509
