Episode,match_fail_count,reward_per_episode,epsilon,time_per_episode
1,527,-499.5,1.0,0.3412
2,525,-497.0,0.999,0.3657
3,449,-421.5,0.998,0.333
4,785,-750.5,0.997,0.4556
5,610,-580.5,0.996,0.4021
6,860,-824.0,0.995,0.568
7,382,-358.0,0.994,0.2886
8,467,-442.0,0.993,0.2916
9,549,-520.5,0.992,0.3661
10,656,-621.5,0.991,0.425
11,504,-478.5,0.99,0.3413
12,609,-579.0,0.989,0.3932
13,814,-781.5,0.988,0.5571
14,441,-414.5,0.987,0.3168
15,407,-380.0,0.986,0.2936
16,710,-679.0,0.985,0.4866
17,379,-353.0,0.984,0.2691
18,630,-597.5,0.983,0.41
19,543,-516.0,0.982,0.3936
20,398,-371.5,0.981,0.2849
21,325,-300.5,0.98,0.2319
22,501,-470.0,0.979,0.344
23,345,-321.5,0.978,0.2321
24,586,-557.0,0.977,0.4174
25,354,-329.0,0.976,0.2753
26,610,-582.5,0.975,0.3792
27,424,-398.5,0.974,0.3105
28,500,-472.0,0.973,0.3576
29,226,-201.0,0.972,0.1623
30,419,-391.0,0.971,0.2925
31,316,-291.0,0.97,0.2298
32,259,-234.5,0.969,0.1882
33,354,-331.5,0.968,0.2487
34,490,-464.5,0.968,0.3177
35,362,-333.0,0.967,0.2376
36,455,-429.5,0.966,0.2867
37,256,-233.0,0.965,0.1515
38,202,-180.0,0.964,0.1451
39,411,-384.5,0.963,0.2904
40,326,-300.5,0.962,0.2407
41,295,-273.0,0.961,0.2155
42,285,-258.0,0.96,0.1783
43,364,-339.5,0.959,0.257
44,408,-384.5,0.958,0.3011
45,278,-255.5,0.957,0.1643
46,270,-247.0,0.956,0.1848
47,244,-221.0,0.955,0.1551
48,340,-310.5,0.954,0.1835
49,437,-407.0,0.953,0.2854
50,209,-188.5,0.952,0.1608
51,179,-157.0,0.951,0.1233
52,295,-273.0,0.95,0.2043
53,331,-306.5,0.949,0.2491
54,318,-296.0,0.948,0.2308
55,229,-208.5,0.947,0.183
56,227,-205.0,0.946,0.1709
57,303,-279.5,0.946,0.1736
58,176,-150.5,0.945,0.1322
59,228,-203.5,0.944,0.1665
60,209,-187.0,0.943,0.1421
61,201,-179.0,0.942,0.1533
62,141,-118.0,0.941,0.1007
63,247,-222.5,0.94,0.1733
64,229,-205.0,0.939,0.1758
65,172,-147.5,0.938,0.135
66,206,-182.0,0.937,0.1592
67,190,-168.0,0.936,0.1491
68,184,-159.0,0.935,0.1452
69,239,-217.0,0.934,0.1761
70,177,-156.0,0.933,0.1437
71,281,-255.5,0.932,0.2078
72,193,-168.0,0.931,0.1131
73,227,-203.5,0.93,0.1435
74,172,-147.5,0.93,0.1299
75,168,-143.0,0.929,0.1277
76,192,-168.0,0.928,0.1383
77,238,-213.5,0.927,0.178
78,161,-139.0,0.926,0.1176
79,183,-160.5,0.925,0.1328
80,113,-92.0,0.924,0.0852
81,159,-137.0,0.923,0.1148
82,137,-116.5,0.922,0.0989
83,185,-162.0,0.921,0.1336
84,311,-287.5,0.92,0.2191
85,198,-173.0,0.919,0.1417
86,132,-110.0,0.918,0.0943
87,104,-83.0,0.918,0.11
88,164,-143.0,0.917,0.1379
89,178,-155.5,0.916,0.1407
90,216,-192.0,0.915,0.1237
91,141,-119.0,0.914,0.0861
92,124,-103.0,0.913,0.0878
93,106,-83.5,0.912,0.0884
94,136,-112.5,0.911,0.1074
95,150,-128.5,0.91,0.1155
96,195,-170.5,0.909,0.1478
97,162,-138.5,0.908,0.1239
98,137,-115.5,0.908,0.1081
